11633251
/m/02rm6qr
/m/02rm6qr
Ken MacLeod

11 1
2000 1
2001 1
a 9
affected 1
agency 1
airbase 1
aircraft 1
al 1
alec 1
also 2
an 5
and 10
apparently 1
are 1
area 1
army 1
as 5
asia 1
at 2
attack 2
attacks 1
be 2
been 1
blogger 1
bloggers 1
book 1
boston 1
both 1
britain 1
british 1
brother 1
bushbashing 1
by 2
camp 2
central 1
characters 1
cleansing 1
clinton 1
committed 1
congress 1
conspiracy 1
continuation 1
dark 1
daughter 1
democratic 1
devastates 1
developer 1
device 1
didnt 1
disinformation 1
ecorefugees 1
election 1
enormous 1
ethnic 1
explains 1
explosion 1
extension 1
father 1
fellow 1
fictional 2
follows 1
for 2
forces 1
form 1
france 1
from 2
gore 1
grangemouth 1
has 2
he 2
her 5
hillary 1
his 2
hope 1
i 1
impending 1
in 7
include 1
intelligence 1
is 1
james 1
junction 1
just 2
leadership 1
leave 1
leuchars 1
lives 1
living 1
macleod 1
madeis 1
mark 1
matters 1
migration 1
more 1
mother 1
muslims 1
neighbouring 1
new 1
novel 2
of 6
on 2
other 2
outside 1
pacifist 1
particular 1
partisan 1
party 1
peace 1
personality 1
philadelphia 1
point 1
possible 1
powerful 1
practice 1
president 1
presidential 1
protestors 1
pseudonyms 1
raf 1
rather 1
read 1
receives 1
recorded 1
refinery 1
republicans 1
roisn 2
sandra 1
september 1
serves 1
she 3
software 1
some 1
spaghetti 1
specialises 1
spread 1
spy 1
states 1
strange 1
succeeded 1
targeted 1
textmessage 1
than 2
that 1
the 18
their 1
then 1
theories 1
these 1
to 6
town 1
travis 1
trouble 1
under 1
united 1
universe 1
unknown 1
unloading 1
various 1
want 1
war 1
warning 1
washington 1
who 3
witnessed 1
witnesses 3
won 1
work 1
working 1
works 1
writing 1
york 1
