11654140
/m/02rmw3m
/m/02rmw3m
Maeve Binchy
2002
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
60 1
a 10
about 1
access 1
affair 1
american 1
an 2
and 12
another 1
around 1
as 1
at 2
attempt 1
away 1
background 1
because 1
been 1
book 1
brady 2
brenda 1
brennan 1
businessman 2
but 1
catering 1
company 2
concentrates 1
contact 1
corrupt 1
country 1
crew 1
dead 1
deceitful 1
deirdre 1
derry 1
disgraced 1
documentary 1
don 1
drunken 1
dublin 1
each 1
efforts 1
ella 6
eventually 1
exposed 1
falls 1
family 2
father 1
feather 1
film 2
for 3
fraud 1
friends 1
funding 2
get 4
girlfriends 1
give 1
had 1
happy 1
hates 1
he 4
help 1
her 10
heritage 1
him 1
his 3
hours 1
in 8
inconsistencies 1
interspersed 1
inteweaving 1
irish 2
is 5
job 1
king 1
laptop 1
leaving 1
left 1
life 3
love 1
loves 1
main 1
man 2
manages 1
many 2
marriage 1
married 1
meet 1
moment 1
more 1
mostly 1
mother 1
new 1
not 1
nuala 1
of 7
on 1
one 1
or 2
other 1
out 3
over 1
overlook 1
owners 1
patrick 1
people 2
plot 2
points 1
possession 1
quentins 3
quits 1
regulars 1
restaurant 4
revolve 1
richardson 1
runs 1
savings 1
scarlet 1
science 1
she 3
smaller 1
some 2
squad 1
still 1
struggles 1
successful 1
swindler 1
teacher 1
teaching 1
tells 2
than 1
that 1
the 15
their 1
these 1
time 1
to 9
torrid 1
treated 1
unpredicatable 1
until 1
various 2
vignettes 1
was 2
way 2
ways 1
week 1
what 1
when 1
whether 1
which 1
who 3
whom 1
with 10
without 1
work 1
young 1
