11695003
/m/02rp87y
/m/02rp87y
Andrea Camilleri

a 6
able 1
accident 1
act 1
advantage 1
after 2
against 1
alive 1
ally 1
also 4
an 4
and 19
appear 1
aristocratic 1
as 4
aspiring 1
assume 2
assures 1
at 8
attack 1
attempt 1
attempting 2
attempts 1
attorney 3
avoid 1
away 1
bad 1
be 3
beach 2
beating 1
because 3
beginning 1
being 2
betrayal 1
betrays 1
body 3
boyhood 1
brace 1
brothel 7
but 2
by 7
calls 1
can 1
car 1
care 1
case 1
cast 1
chance 1
child 1
circumstance 1
collectors 1
construction 1
contact 1
convinces 1
country 1
crony 1
curry 1
cusumano 2
daughterinlaw 1
dead 1
death 4
dedie 1
dellacqua 1
des 1
destroys 1
developer 1
dies 2
discover 1
does 1
down 1
dressed 1
due 2
during 1
embarrassing 1
embarrassment 1
end 1
engineer 1
epilepsy 1
epileptic 1
evidence 1
fact 1
family 1
favor 1
figures 1
film 1
finds 2
for 3
form 2
forma 1
formerly 1
found 2
frameup 1
friend 3
friendship 1
from 2
gain 1
garbage 5
gege 1
get 1
giorgio 3
gives 1
giving 2
god 1
gold 1
gun 1
guy 1
had 1
handbag 1
have 2
having 2
he 5
heart 1
help 4
her 4
him 3
himself 1
his 16
house 2
ignoring 1
implicating 1
in 8
ingrid 5
initially 1
initials 1
inside 1
instead 1
involved 1
involvement 1
is 3
it 1
itla 1
jewelencrusted 1
jobs 1
kept 1
killing 1
known 1
later 1
leverage 1
lookalike 2
lover 2
luparello 10
make 1
makes 1
man 1
maybe 1
meanwhile 1
medical 1
men 3
montalbano 7
morning 1
move 2
much 1
must 1
neck 1
necklace 5
nephew 3
normally 1
not 2
of 14
off 2
on 1
one 3
opponent 1
opportunity 1
order 1
out 3
outdoor 6
over 1
panics 1
pants 1
part 1
pays 1
pimp 1
planted 3
playing 1
plot 1
political 2
politician 1
previously 1
proper 2
protect 1
rebuffs 1
relationship 1
required 1
revenge 1
reward 1
right 1
rizzo 9
same 1
scene 1
seamy 1
secretary 1
seizure 1
send 1
sex 2
sexual 1
she 3
sick 1
silvio 1
situation 1
so 1
solid 1
somebody 2
starts 1
story 1
sure 1
surprise 1
surveyor 1
surveyors 1
suspects 1
svvattnets 1
swedish 1
take 2
that 9
the 41
their 2
then 2
there 1
they 1
this 2
though 1
thought 2
thus 1
tips 1
to 20
too 1
treatment 1
trusting 1
trying 1
two 1
uncle 4
underwear 1
up 2
use 1
used 1
valuable 1
version 1
very 1
walked 1
wanting 1
warning 1
was 3
wasnt 1
wassers 1
we 2
wear 1
which 4
while 1
who 1
wife 2
will 1
with 11
working 1
wraps 1
