11897460
/m/02rx6xd
/m/02rx6xd
Lloyd Alexander

{"/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 3
adventures 1
after 1
and 6
are 1
as 1
becomes 2
begins 2
begs 1
belonging 1
between 1
brightford 3
by 1
capricious 1
concerning 1
conflicts 1
covetous 1
depravity 1
economic 1
entangled 1
escalates 1
especially 1
falling 1
friendship 1
gillian 2
given 1
hardship 1
he 1
him 1
his 3
housecat 1
human 1
humans 1
in 2
inn 1
into 1
is 1
ja 1
lionel 4
love 1
magician 1
man 1
many 1
master 1
mayor 3
more 2
objections 1
of 5
officers 1
people 1
plaguing 1
power 1
relents 1
rocky 1
rule 1
speech 1
stephanus 2
struggles 1
the 11
to 3
town 1
transformed 1
turn 1
while 1
whom 1
with 3
