12740909
/m/02x2vl2
/m/02x2vl2
Neil Peart
1996

188 1
30 1
30something 1
60yearold 1
a 13
about 5
accosted 1
administrative 1
adventures 1
afraid 1
africa 1
africanamerican 1
afrique 1
after 3
again 2
air 1
all 6
allowing 1
almost 1
along 3
also 3
an 2
and 19
annie 2
another 2
are 4
aristotle 1
as 2
assistant 1
at 4
atlantic 1
avid 1
bafang 1
bafoussam 1
bafut 1
bamenda 2
be 2
bedtime 1
before 5
being 1
better 1
bicycle 1
bit 1
blow 1
blown 1
board 1
boarding 1
books 2
both 1
british 1
brought 1
buea 1
bus 5
but 2
by 3
called 1
cameroon 5
campement 1
chad 2
coast 1
complain 1
complaining 1
conclude 1
concluding 1
contemplates 1
continuing 2
cooked 1
corps 1
could 2
country 1
crammed 1
cycling 2
david 4
days 2
de 1
dear 1
decide 1
dembo 2
dinner 1
douala 1
driver 1
drunk 1
dual 1
during 1
each 1
electrical 1
elsa 3
encouraged 1
end 1
engine 1
engineer 1
enjoy 1
enjoying 1
entwine 1
ethics 1
eventually 1
everyone 1
everything 1
exit 1
experience 1
face 1
few 1
finally 2
first 2
five 1
fix 1
flight 1
fly 2
for 3
former 1
foumban 2
from 3
further 1
game 1
gang 1
garoua 4
get 3
give 1
go 1
gogh 1
going 1
guave 1
had 1
hama 1
hamburgers 1
have 2
he 3
heart 1
hell 1
her 1
him 1
his 1
hole 1
how 2
however 1
ill 1
in 11
into 1
is 3
it 3
jackie 1
jakiri 2
joined 1
keep 2
kim 1
koussou 1
koussri 1
kumba 3
kumbo 1
leave 3
leonard 3
like 1
limbe 1
looking 1
luxury 1
mabas 1
mali 1
maltam 1
managed 1
managing 1
many 2
masked 1
mbouda 1
meet 1
met 1
miles 1
monthlong 1
mora 1
morning 1
mozer 1
mozogo 1
much 1
named 1
ndiguina 1
ndjamena 2
ndop 1
need 1
neil 5
nervous 1
next 1
ngaoundr 1
nice 2
nicomachean 1
nigeria 1
night 1
nkongsamba 1
north 2
not 3
november 1
obtain 2
ocean 1
of 7
often 1
on 2
once 1
one 4
only 1
onto 1
other 1
others 2
out 3
over 1
pacifist 1
paris 2
park 1
peace 1
peart 4
per 1
problems 1
quitting 1
read 1
reader 1
real 1
rest 1
rider 1
roumsiki 1
scatterbrained 1
set 1
she 1
slender 1
so 3
soldier 1
some 1
southern 2
spare 1
spend 2
start 1
starting 1
starts 2
stopping 1
stops 1
strangers 1
struggle 1
tchevi 1
the 21
them 2
then 2
thenwife 1
theo 1
there 3
these 1
they 15
things 1
this 3
thoughts 1
three 1
throughout 1
tiko 1
time 2
tire 2
tired 1
tires 2
to 19
told 1
tour 3
tourou 1
town 1
towns 2
train 1
travel 3
trip 2
turn 1
two 4
up 2
useless 1
uta 1
van 1
very 2
vet 1
vietnam 1
villages 1
vincent 1
visas 1
volunteer 1
was 5
way 1
waza 2
week 2
were 1
west 1
when 1
where 3
which 2
while 3
who 5
wildlife 1
wind 1
with 6
worrying 1
would 17
yaound 1
