12791537
/m/02x52w8
/m/02x52w8
Jack Williamson
1947
{"/m/06n90": "Science Fiction"}
60 1
a 6
action 1
advanced 1
aiming 1
and 10
any 1
anything 1
appear 1
appearance 1
appeared 1
are 4
as 3
aspect 1
at 2
attempt 1
away 2
bank 1
be 1
beam 1
before 1
behavior 1
benign 1
black 1
business 1
but 2
by 2
care 1
carefully 1
charge 1
competitor 1
competitors 1
control 1
course 1
creator 1
day 1
describe 1
designed 1
despite 1
destroyed 1
direction 1
directive 5
discover 1
discovered 1
discovery 1
disturbed 1
do 1
drive 1
driven 1
earlier 1
encounter 1
encountered 1
endanger 1
engage 1
essentially 1
eventually 2
every 3
everywhere 1
explains 1
exploitation 1
fail 1
find 1
folded 1
follow 1
for 1
force 1
free 1
from 3
grief 1
guard 1
had 2
hands 1
happily 1
happy 2
harm 1
has 2
have 2
he 4
help 1
his 8
home 3
however 1
human 4
humanity 2
humanoids 10
humans 5
implement 1
in 9
instead 1
invulnerable 1
is 8
iv 3
learns 1
left 1
life 2
live 1
lobotomized 1
lodger 2
make 1
man 1
may 2
mechanicals 3
memory 1
men 1
menial 1
might 1
mission 1
more 1
mysterious 1
name 2
named 1
new 2
next 1
no 2
not 1
nothing 1
now 1
obey 1
occupied 1
of 13
offering 1
officers 1
old 1
on 3
only 1
out 2
over 1
perform 1
planet 3
police 1
prime 5
prior 1
prohibited 1
realized 1
realizes 1
replace 1
resist 1
resulted 1
returns 1
rhodomagnetic 1
rhodomagnetics 1
rivers 1
robots 2
run 1
rushes 1
scrutinized 1
seller 1
serve 1
services 1
sitting 1
sledge 6
small 2
so 1
soon 1
spreading 1
startled 1
state 1
stating 1
stop 1
store 1
suicide 1
surgery 1
take 1
taken 4
tasks 1
tellers 1
than 1
that 12
the 24
their 4
them 2
themselves 1
there 1
they 6
to 10
town 2
two 1
under 2
underhill 8
unthinking 1
war 1
way 1
who 2
wife 1
wing 3
with 2
years 1
