12838145
/m/02x715y
/m/02x715y
Gary Paulsen
1997-09-08
12 1
12500000 1
130 1
20 1
6 1
a 3
age 1
almost 1
american 1
and 3
army 1
around 1
at 2
attacks 1
bayonetting 1
been 1
blacks 1
burned 1
by 2
civil 1
dallas 1
dies 2
down 1
during 1
eight 1
end 1
enraged 1
finding 1
for 1
friend 2
from 1
half 1
has 1
have 1
help 2
her 6
him 1
house 1
husband 1
in 5
infantry 1
interest 1
it 1
klan 2
klux 1
ku 1
later 1
laura 3
leaving 1
life 1
lives 1
louis 1
lucy 1
lynches 1
miss 3
month 1
months 1
mr 1
named 1
new 3
of 4
one 1
only 1
opens 1
orleans 2
owner 1
pays 1
properties 1
released 1
rental 1
sarny 3
school 1
shackles 1
she 2
slavery 1
st 1
stanley 1
states 1
steamships 1
texas 1
the 9
them 2
then 1
to 2
twice 1
two 1
united 1
until 1
wallereventually 1
war 2
with 1
