12935931
/m/02z0jwh
/m/02z0jwh
Andrew Kaplan
1985
a 10
abducted 1
accomplice 1
afghanistan 1
agent 1
american 2
an 2
and 3
arabia 2
as 3
assassinate 1
assassination 2
at 1
author 1
bahrain 2
battles 1
beautiful 1
because 1
bedouin 1
bob 1
brutally 1
but 1
by 2
call 1
camel 1
captured 1
cia 2
codenamed 1
confronts 1
congressmans 1
daughter 1
deputy 1
desert 1
dies 1
director 1
escape 1
excia 1
failure 1
flashbacks 1
flight 1
foil 1
follows 1
for 1
freelance 1
french 1
from 1
fyedorenko 2
gulf 1
harris 2
he 2
his 2
house 1
in 6
into 1
is 3
israelis 1
it 1
kelly 4
kill 1
king 1
kings 1
last 1
makes 1
manages 2
mysterious 1
of 6
oilman 1
on 2
ormont 1
orphaned 1
pakistan 1
paris 1
past 1
phone 1
plot 4
plots 1
preempt 1
president 1
prince 1
race 1
raised 1
recruits 1
replaced 1
rescue 1
returns 1
reveal 1
reveals 1
russia 1
russians 1
saad 1
safe 1
saudi 1
scorpion 5
scorpions 1
sdece 1
seen 1
senior 1
shadowy 1
she 1
slavery 1
son 1
streets 1
the 18
thing 1
thinking 1
to 8
trail 1
tribe 1
uncovers 1
was 2
washington 1
where 1
while 1
white 1
who 1
whole 1
with 2
woman 1
working 1
young 1
