12941718
/m/02z0ryp
/m/02z0ryp
Nick Pollotta

4 2
a 9
accepting 1
actually 1
admittance 1
advanced 1
alien 3
aliens 4
all 1
also 1
an 2
and 10
appeasements 1
are 4
argue 1
army 2
around 1
arrest 1
as 1
asking 1
assistance 1
attempting 1
back 1
be 1
beams 1
beautiful 1
been 2
before 1
believing 1
between 1
blown 1
blue 1
board 1
body 1
bosses 1
break 1
bridge 1
by 2
camouflage 1
can 1
case 1
central 2
certain 1
civilization 1
civilizations 2
claims 1
clandestinely 1
class 1
contact 2
covered 1
crew 5
criminals 1
crowd 1
delinquents 1
dissected 1
duplicated 1
during 1
earth 6
elevators 1
engineer 1
entertainment 1
entry 1
equivalent 1
escape 1
except 1
excitement 1
existence 1
experimentation 1
extraterrestrial 1
failure 1
federation 3
for 6
force 1
from 2
fur 1
galactic 3
gang 5
gas 1
gees 5
getting 1
glitters 1
global 2
golden 1
great 2
group 1
happen 2
has 3
have 2
his 1
holds 1
horizontalvertical 1
hostage 1
human 3
hyperdrive 1
identified 1
identify 1
idow 2
iii 1
illegal 1
in 3
include 1
including 2
infiltrate 1
intent 1
interests 1
into 5
is 1
just 1
juvenile 1
killing 1
lands 1
lawenforcement 1
leader 1
league 1
learned 1
leave 1
levels 1
likely 1
liquefied 1
loose 1
main 1
manages 3
mandates 1
many 2
massive 1
mayhem 1
meanwhile 1
member 1
merely 1
mikon 2
minor 1
molecular 1
most 2
nations 3
new 3
nonspacetravelling 1
not 1
now 1
of 10
omega 1
on 1
ones 1
out 2
overt 1
own 1
pardons 1
park 2
perfectly 1
personnel 1
planet 1
planets 2
police 2
potential 1
presence 1
prevent 1
preventing 1
provide 1
prurient 1
quarantine 2
quarantined 1
race 1
reach 1
record 1
release 1
represent 1
representatives 1
resented 1
result 1
scan 1
security 1
seek 1
sent 2
set 1
ship 6
similar 1
so 1
softening 1
some 1
space 1
spaceship 1
spacetravelling 1
specifically 1
spherical 1
struggles 1
subjects 1
take 1
technologies 1
technology 1
test 4
that 8
the 38
their 4
them 1
then 1
these 1
they 5
threatening 1
through 1
to 14
transport 1
trell 5
trick 1
tricks 1
two 1
type 1
unbeknownst 1
unfortunately 1
united 3
up 1
upon 2
violence 1
where 2
which 1
white 1
who 3
whose 2
will 2
with 2
without 1
women 1
worthiness 1
york 2
