13698635
/m/03cffbb
/m/03cffbb
Helen Dunmore
2006-05-02
a 12
about 2
adapted 1
after 3
against 1
ago 1
air 1
along 1
and 21
are 5
as 1
at 3
attic 1
baby 2
back 7
be 2
becoming 1
begins 1
behind 1
beloved 1
beneath 1
blackness 1
bleed 1
book 1
broken 1
but 8
by 4
call 1
calls 1
cannot 1
cant 1
carne 2
carried 1
centre 1
conor 10
controls 1
corner 1
cottage 2
couple 1
cove 1
crutches 1
current 1
dad 1
day 1
deep 1
delighted 1
disappeared 1
dives 1
do 1
does 1
dog 5
down 1
elvira 2
end 1
entire 1
even 1
evening 1
face 1
faro 3
father 3
feeling 1
find 1
finds 1
fine 1
flood 2
floods 1
for 1
four 1
frequently 1
friend 1
from 1
given 1
go 2
goes 3
going 2
granny 2
has 3
have 1
he 2
healed 1
healer 1
heals 1
help 1
helps 1
her 16
his 1
home 1
house 1
houses 1
ill 2
in 8
ingo 5
into 2
is 15
it 1
jumps 1
keeper 1
knot 5
know 1
lady 2
learn 1
leave 1
leaves 2
leaving 1
leg 1
life 2
living 1
long 1
look 1
loose 2
loosens 1
lovingly 1
magical 1
manage 1
meets 1
mer 3
minute 1
mirror 1
mirrorlike 1
more 2
morning 1
mother 1
moved 1
mum 6
nearly 1
new 2
next 1
night 1
not 3
of 10
old 3
on 3
one 1
only 2
out 2
over 1
pavement 1
phones 1
pieces 1
pirans 1
power 1
prefers 1
put 1
rainbow 1
reading 1
recedes 1
relief 1
replaced 1
rescue 1
rescues 2
restless 1
restore 1
return 2
reunited 1
roger 1
rogue 1
sad 1
sadie 3
saldowr 2
sapphire 18
says 1
school 1
sea 6
see 2
seems 1
sees 1
shaken 1
she 12
shortly 2
skips 1
slammed 1
slowly 1
smiles 1
smiling 1
so 1
someone 1
soon 1
st 1
stay 1
staying 1
stays 1
stone 2
strong 1
sure 1
swallowed 1
swim 1
takes 2
tells 2
that 5
the 43
their 7
there 4
they 7
thing 1
this 1
tide 5
tides 1
till 1
to 17
together 2
too 1
town 1
trouble 1
two 1
up 5
wakes 1
walk 1
wall 1
water 1
weak 1
whale 1
when 3
where 4
whilst 1
who 1
why 1
will 1
window 1
wisest 1
with 5
withdrawn 1
without 1
woman 4
wont 1
world 1
worry 1
years 1
