13755898
/m/03ch90z
/m/03ch90z
Ally Kennen
2006-06-29
17 1
a 4
all 1
and 1
as 2
beast 2
bequeathed 1
birth 1
by 1
child 2
childhood 1
criminal 1
crocodilan 1
edge 1
family 2
father 1
ferocious 1
flashbacks 1
foster 1
frequently 1
from 2
great 1
growing 1
guarding 1
harbors 1
has 1
he 2
him 1
his 4
huge 1
intents 1
is 1
law 1
living 1
monster 1
moved 1
murderous 1
of 2
old 1
on 1
relationships 1
reliving 1
secret 1
stephen 2
story 1
tells 1
the 4
this 1
through 1
time 1
to 2
toward 1
was 1
well 1
when 1
year 1
