13898739
/m/03cml81
/m/03cml81
Raymond Abrashkin

a 2
about 1
alone 1
also 1
and 3
before 1
bulfinch 1
bullfinch 1
champions 1
computer 1
corrects 1
created 1
danny 5
despite 1
figures 1
finds 1
for 2
friend 1
has 3
her 1
his 3
homework 2
ideas 1
irene 1
is 3
it 1
joe 1
kids 1
learns 1
leave 1
machine 4
miller 1
nasa 1
neighbor 1
new 1
of 1
once 1
out 2
pearson 1
prepare 1
problem 1
professor 2
sabotaged 1
she 2
some 1
success 1
teacher 1
that 2
the 7
thinks 1
to 3
trick 1
uses 1
warning 1
way 1
what 1
with 3
wrong 1
