467841
/m/02d1sf
/m/02d1sf
Ann Granger

80 1
a 7
about 1
after 1
also 1
and 1
are 2
arrival 1
artist 1
as 3
at 3
autopsy 1
away 1
bamford 1
becomes 1
been 2
beginning 1
bert 1
british 1
but 3
called 1
church 1
clear 1
cottagepoisoned 1
couple 1
cousin 1
daughter 2
dead 1
death 1
down 1
end 1
especially 1
eve 3
film 1
first 1
for 1
found 1
garden 1
give 1
guests 1
had 1
has 3
have 2
he 1
her 4
his 3
house 1
in 7
innocent 1
invites 1
is 4
it 3
killing 1
known 1
longer 1
lorrimer 4
meredith 1
midforties 1
mitchell 2
motive 1
must 1
neighbour 1
neighbours 1
next 1
night 1
no 2
not 1
now 1
of 5
old 1
one 4
out 1
over 1
owens 4
period 1
philip 1
place 1
poisoned 1
pyjamas 1
reveals 1
sara 1
secret 1
seemed 1
seems 1
settled 1
shed 1
shortly 1
slain 1
slow 1
small 1
star 1
staying 1
suspects 1
take 1
that 4
the 6
there 1
they 1
time 2
to 5
turns 1
village 2
was 1
wedding 1
weeks 1
when 1
which 2
who 2
yearold 1
yewell 2
young 1
