14329460
/m/03d0ptf
/m/03d0ptf
Amy Chua
2007-10

a 3
achaemenid 1
america 1
an 1
and 3
argues 1
as 1
asia 1
book 1
british 1
by 1
chronological 1
chua 2
coprosperity 1
counterpoint 1
describes 1
discusses 1
divisions 1
dutch 1
east 1
either 1
empire 2
empires 1
ethnic 1
examples 2
failure 1
failures 1
for 2
from 1
germany 1
glue 1
greater 1
growing 1
hegemonies 1
history 1
human 1
hyperpower 2
hyperpowers 2
identity 1
imperial 1
in 1
include 2
into 1
intolerance 1
its 1
lites 1
loss 1
mongols 1
nazi 1
of 6
on 1
or 1
order 1
overarching 1
peoples 1
persian 1
preconditions 2
provide 1
reflections 1
rome 1
rough 1
ruling 1
spain 1
sphere 1
states 1
status 1
subject 1
successful 1
tang 1
that 2
the 13
them 1
throughout 1
to 2
together 1
tolerance 1
traditional 1
united 1
while 1
with 1
