14549305
/m/03d7g4m
/m/03d7g4m
Martin Wickramasinghe
1947
a 14
afraid 1
after 2
age 1
an 2
and 13
another 1
are 1
arrives 1
as 1
at 1
away 3
be 2
believed 1
boy 3
boys 3
but 1
by 2
care 1
caught 1
close 1
covered 1
decide 1
dense 1
deserted 1
developed 1
devoted 1
doova 2
end 1
eventually 1
farmer 1
farming 2
father 2
finally 1
find 1
follow 1
for 2
forest 1
friend 1
from 2
fugitive 1
gang 1
get 1
ghost 1
giniwella 1
given 1
go 1
government 1
had 2
has 1
haunted 1
haunting 1
he 4
hears 1
help 2
helps 2
hiding 1
his 3
home 3
house 1
ill 1
in 4
into 2
is 9
island 4
issue 1
it 3
jinna 3
land 1
lanka 1
later 1
law 1
learn 1
legal 1
light 1
live 2
living 1
lost 1
lot 1
madol 2
mahattaya 1
man 1
meanwhile 1
mischief 1
mother 1
mysterious 1
named 2
new 1
now 1
of 5
on 4
or 1
orchard 1
out 2
plantation 1
podigamarala 2
police 1
prosperous 1
punchi 1
punished 1
raid 1
reality 1
result 1
returns 3
run 1
school 2
see 1
sent 2
servant 1
settling 1
severely 1
southern 1
spotting 1
sri 1
start 1
stepbrother 1
stepmother 2
supposedly 1
taken 1
teacher 1
that 4
the 15
their 3
them 1
there 2
they 3
to 10
trying 1
two 3
under 1
up 3
upali 6
venture 1
village 2
was 1
when 2
which 2
while 1
will 1
with 5
work 2
working 2
young 1
