14697203
/m/03gtfhn
/m/03gtfhn
Sarah Weeks
2004
a 3
about 2
afraid 1
after 1
agoraphobia 1
all 1
allows 1
although 1
and 5
anxious 2
arrived 1
as 2
at 2
be 1
bernadette 3
beyond 1
bus 1
by 2
called 1
calls 1
can 1
causes 1
christmas 1
condition 1
curious 1
decides 1
define 1
demuth 1
diana 1
dies 1
discovers 1
during 1
elliot 1
end 1
every 1
family 1
father 1
feeling 1
felt 1
finally 1
finds 2
for 2
georgia 1
go 3
grandfather 1
grandmother 1
has 1
hearing 1
heidi 7
her 18
hill 2
hilltop 1
history 1
home 2
house 1
households 1
husband 1
in 2
including 1
into 1
investigate 1
is 3
it 1
kind 1
knows 1
lady 1
leaving 1
liberty 1
lives 1
long 1
meant 2
meanwhile 1
meets 1
mentallydisabled 1
mom 1
more 1
mother 4
mothers 1
must 1
mutter 1
mysterious 1
named 1
neighbor 1
nevada 1
new 2
nickname 1
night 1
no 1
of 2
on 2
one 3
only 1
out 1
outside 1
own 1
party 1
photos 1
provide 1
reluctantly 1
reno 1
responsibilities 1
road 1
roy 1
ruby 1
seek 1
serious 1
she 7
some 1
soof 3
sophia 1
sorrowful 1
state 1
sweet 1
take 1
takes 1
that 4
the 5
their 2
thurman 2
time 1
to 9
too 1
town 1
trip 1
twelveyearold 1
twentythree 1
uncover 1
unwelcomed 1
was 2
what 2
when 2
where 1
which 2
with 1
word 2
words 1
years 1
york 2
