488035
/m/02gh9f
/m/02gh9f
Clive Barker
1998
{"/m/014dfn": "Speculative fiction"}
0006178057rm 1
a 7
active 1
age 1
also 2
although 1
america 1
american 1
an 1
and 7
are 2
at 1
back 1
barbarossa 1
barbarossas 1
barker 1
been 3
beginnings 1
beings 1
between 2
book 2
both 1
bronze 1
by 1
came 1
canaan 1
cesaria 1
child 1
children 2
city 1
civil 1
clan 2
deaths 1
during 1
dynasty 1
eldest 1
eventually 1
examines 2
existence 1
eyes 1
families 1
family 4
fathered 1
first 1
four 2
galilee 1
geary 2
gearys 1
glamorous 1
godlike 1
going 1
had 1
happens 1
has 2
have 4
held 1
human 1
imagination 1
in 4
institution 1
into 1
is 5
isbn 1
it 2
its 1
kennedys 1
least 1
left 1
lesbian 1
link 1
links 1
marries 1
mental 1
mitchell 1
narrator 1
next 1
nicodemus 2
none 1
oath 1
of 8
one 4
others 1
out 2
overweight 1
parents 1
plot 1
power 2
promised 1
reader 1
reconstruction 1
relationships 1
revealed 1
rich 1
samarkand 1
same 1
scion 1
sequel 1
several 2
similar 1
since 2
somewhere 1
spent 1
spin 1
the 27
them 1
they 1
though 1
threads 1
through 1
time 2
to 6
two 1
war 1
what 1
who 2
with 3
woman 2
work 1
written 1
young 1
