16388491
/m/03wj9gp
/m/03wj9gp
Władysław Reymont
1899

a 5
accompanies 1
advance 1
affair 2
all 1
an 2
and 2
another 1
apparently 1
aside 1
at 1
baum 1
be 1
berlin 1
borowiecki 4
brand 1
bucholz 1
burning 1
businessman 1
but 2
by 1
capital 1
cast 1
change 1
characters 1
cotton 1
day 1
deny 1
down 1
embark 1
engineer 1
exile 1
factory 4
found 1
friends 1
futures 1
german 1
gives 1
hamburg 1
handloom 1
has 2
heir 1
help 1
helps 1
her 1
him 1
his 3
husband 1
in 1
independent 1
is 2
jealous 1
jewish 1
karol 1
killing 1
lucy 2
magnate 1
make 1
managing 1
market 1
max 1
money 1
more 1
moritz 1
necessary 1
new 1
nobleman 1
notice 1
of 4
old 1
on 4
opening 1
own 1
partners 1
plant 1
polish 1
pride 1
raise 1
revenge 1
setting 1
so 1
takes 1
tariffs 1
textile 3
the 9
their 2
they 1
three 2
to 7
uninsured 1
up 1
welt 2
while 1
who 1
wife 2
with 3
zucker 3
