16711420
/m/047vqvw
/m/047vqvw
Jennifer Rowe
2001
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 7
across 1
after 1
agreeing 1
all 1
also 1
although 1
and 7
as 1
avoiding 1
awakens 1
bargain 1
be 2
beast 1
beasts 1
believe 1
beware 1
by 2
called 1
come 1
common 1
companions 2
contents 1
continue 1
controlling 1
creature 1
deadly 1
decided 1
deltorans 1
deserted 1
discovered 1
distrustful 1
dread 3
dream 1
dreaming 1
drink 2
during 1
effect 1
emerald 1
encircling 1
ends 1
enemy 1
entrance 1
evil 2
explains 1
extinct 1
fight 1
find 3
finding 1
flying 1
for 2
freedom 1
from 2
gellick 4
gentle 1
gnomes 5
hamper 1
has 1
have 1
head 3
help 1
however 1
in 2
ingestion 1
inhabitants 1
initially 1
intent 1
into 2
invaders 1
is 3
it 4
its 2
itself 1
journey 1
journeying 1
kin 3
landing 1
lief 4
longtime 1
lord 1
makes 2
making 1
mammalian 1
maze 1
monstrous 1
most 1
mountain 4
mouth 1
named 1
nearby 1
noting 1
numerous 1
oddly 1
of 11
on 1
one 3
only 1
onto 1
out 1
overgrown 1
overrun 1
paralyzing 1
peace 1
prey 1
progress 1
repel 1
rest 1
return 1
reveals 1
rid 1
rocks 2
saying 1
set 1
several 1
shadow 1
shaped 1
sign 1
spring 4
stranger 1
studded 1
take 1
thank 1
that 4
the 32
their 3
them 1
then 1
there 3
they 3
thickly 1
thinking 1
thirst 1
those 1
three 1
to 12
toad 1
tossing 1
traps 1
trio 3
unfurling 1
up 1
was 3
water 3
welcome 1
when 1
which 1
whomever 1
will 1
with 5
