16987265
/m/0414mg4
/m/0414mg4
Michael Buckley
2005-10
a 8
about 1
after 1
agrees 1
alone 1
also 3
and 16
are 4
as 5
attacked 1
back 2
bad 1
beanstalk 1
bear 1
being 1
beings 1
believes 1
big 1
bleakest 1
body 1
but 3
by 6
canis 3
carpet 1
come 1
controlled 1
crowd 1
daphne 6
dead 1
destruction 1
disappearance 1
discover 1
disguised 2
does 1
dream 1
eleven 1
enraging 1
escape 3
everafters 1
fairytale 1
fame 1
fed 1
ferryport 2
filled 1
find 2
finds 1
fireflies 1
fly 1
for 1
forms 1
foster 1
from 3
front 1
get 2
giant 5
go 1
going 1
goldielocks 1
grandmother 4
hand 1
he 5
help 1
her 1
him 4
his 1
home 1
homes 1
hoping 1
house 1
household 1
immense 1
in 7
information 1
instead 1
into 3
is 7
it 1
item 1
jack 4
jail 1
just 1
kidnapped 1
killing 1
kind 1
kingdom 1
known 2
landing 2
later 1
little 1
live 1
looking 1
loose 1
magic 2
mama 1
mansion 2
mayor 2
meet 2
midsummer 1
mirror 1
mistake 1
mr 3
news 1
night 1
not 1
numerous 1
of 5
old 2
on 1
one 1
organization 1
orphans 1
out 2
pan 1
parents 1
part 1
person 1
peter 1
pigs 1
plan 1
policethe 1
puck 3
pursued 1
reporters 1
rescue 1
rich 1
sabrina 5
save 1
says 1
scarlet 1
sent 1
set 1
seven 1
shady 1
she 2
since 1
sneak 1
sometimes 1
soon 2
stopped 1
strange 1
that 7
the 21
their 7
them 3
they 6
things 1
thought 1
three 1
through 1
tinman 1
to 9
town 3
transforms 1
trapped 1
tricked 1
try 2
very 1
wants 1
was 3
when 1
where 1
while 1
who 5
with 2
wolf 1
woods 2
would 1
wrecks 1
year 2
