17321945
/m/043rl_m
/m/043rl_m
Jackie Collins
1981
{"/m/02xlf": "Fiction"}
10 1
121 1
a 15
affects 2
after 2
age 2
alive 1
all 2
america 1
an 3
and 14
another 1
apartment 2
are 1
area 1
arranged 1
arrested 1
assault 1
at 2
attendant 1
attorney 1
back 3
backtracks 1
bails 1
begins 1
berkley 5
between 1
blackmailer 2
blackout 6
bonnatti 1
boy 1
breakfast 1
broken 1
but 3
by 1
cab 1
cadillac 1
call 1
calls 2
car 1
carrie 2
chances 1
change 1
characters 2
children 1
circling 1
city 3
clothes 1
collins 1
conservatively 1
convince 1
costa 5
country 1
crime 1
crossing 1
dario 5
day 1
describes 1
detail 1
details 1
directly 1
district 1
diverted 1
does 1
double 1
down 1
dressed 1
drives 1
during 1
early 1
either 1
elevator 2
elliot 1
emigrated 1
end 1
ending 1
ends 2
enforcer 1
enzio 1
epilogue 1
escape 1
event 1
examines 1
exile 1
father 1
fifteen 1
first 1
flight 1
floors 1
focused 1
for 2
forced 1
freelance 1
friend 1
from 5
gang 1
gino 7
goes 1
gun 1
harlem 2
having 1
he 4
her 8
him 2
his 7
home 1
hotel 1
how 1
husband 1
in 19
includes 1
indictment 1
indirectly 1
into 1
is 11
israel 1
italy 1
jerry 1
jewellery 1
juvenile 1
keys 1
kidnapping 1
knife 1
know 1
later 2
let 1
life 2
lift 1
looks 1
looting 1
lover 1
lucky 4
main 1
major 1
male 1
meet 1
mira 1
more 1
myerson 1
narrate 1
needs 1
new 2
next 1
not 3
occurs 2
of 8
office 3
on 2
or 1
order 1
out 2
own 1
parent 1
part 2
parts 1
paulo 1
philadelphia 1
phone 1
plane 3
press 1
real 1
received 1
rescued 1
return 1
returning 1
riots 1
sal 1
santangelo 6
says 1
second 1
seven 1
seville 1
she 6
some 1
something 1
son 1
stairs 1
stays 1
stealing 1
steven 4
story 1
strip 1
take 1
takes 3
talking 1
targeted 1
tax 1
that 3
the 25
they 1
third 1
this 1
three 1
tips 1
to 15
trapped 3
trying 1
two 1
up 5
walk 1
was 4
when 7
who 1
willing 1
with 2
working 1
year 1
york 2
youths 1
zennocotti 2
