535391
/m/02mn05
/m/02mn05
Stephen King
1980-09-29
{"/m/01jfsb": "Thriller", "/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction"}
6 1
a 28
abilities 1
ability 3
able 1
addict 1
addicted 1
addiction 1
advantage 1
after 4
again 1
agency 1
agents 5
ahead 1
albany 1
all 1
almost 1
an 4
and 50
andy 19
another 1
anything 1
are 7
arrives 1
as 8
assumed 1
at 7
attack 1
attempt 1
attempts 1
autohypnotic 1
avoid 1
barn 4
be 1
becomes 2
before 1
befriend 1
befriends 1
begin 1
begins 3
being 1
belonged 1
blind 1
blow 1
blows 2
book 1
botched 2
both 3
brain 1
breaking 1
broken 1
building 1
bullet 1
bullets 1
burning 1
but 3
by 10
cabin 1
called 1
calls 1
cannot 1
cap 4
captain 1
capture 2
case 1
catches 1
catching 1
charlene 1
charlie 24
cherokee 1
city 2
colleagues 1
college 1
comatose 1
combination 2
comes 1
communicating 1
cooperate 1
covered 1
crippling 1
crucial 2
current 1
daughter 2
dc 1
dead 2
dealing 1
decides 2
deemed 1
defiantly 1
deliberation 1
demonstrate 2
determined 1
developed 1
dies 1
director 1
disastrous 1
disastrously 1
discover 1
discovers 1
discovery 1
distraction 1
do 2
does 1
domination 1
down 1
drug 3
during 1
effect 1
effects 1
else 1
employees 1
ends 1
entire 1
escape 2
event 1
eventually 3
ever 1
exits 1
experiment 1
extent 1
facility 2
failure 1
family 1
farm 4
farmer 1
fatherdaughter 1
fear 1
fearsome 1
fending 1
few 1
fictional 1
finally 1
fire 3
firebomb 1
fires 1
first 1
flash 1
flashbacks 1
flee 2
flees 1
following 1
for 4
frightening 1
from 5
fugitives 1
full 1
furious 1
future 1
gain 1
gains 1
gave 1
getaway 1
gives 1
going 1
government 4
grandfather 1
griefstricken 1
grown 1
guidance 1
had 2
hallucinogenic 1
has 2
hastings 1
having 1
he 4
head 1
headaches 1
headquarters 1
heads 1
hemorrhages 1
her 15
hiding 1
him 3
himself 1
his 16
hitchhiking 1
hitman 1
hollister 1
home 1
honest 1
however 3
identities 1
imprisoned 1
in 14
incapacitate 1
incinerating 1
inform 1
information 1
initial 1
instruction 1
instructs 1
interrupts 1
interstate 1
into 1
intrigued 1
irv 1
is 9
it 2
its 1
james 1
janitor 1
john 1
just 1
kidnapped 1
kill 4
killing 1
known 1
latest 1
leadership 1
leaping 1
learn 1
leaves 3
leaving 1
leg 1
level 1
levels 1
life 2
like 1
limited 1
located 1
longmont 2
loses 1
losing 1
lot 1
lsd 1
lunch 1
magazine 1
make 1
manages 1
manders 5
manhunt 1
masquerading 1
mcgee 2
media 1
medias 1
meet 1
meeting 1
melt 1
melts 1
men 1
midair 1
migraine 1
military 1
mind 2
minor 1
minute 1
months 2
mortally 1
mother 1
move 1
murdered 1
named 2
narration 1
near 1
new 6
no 1
not 1
novel 1
nowhere 1
obsessed 1
of 16
off 1
ohio 1
on 7
once 1
one 1
operation 3
operatives 1
or 1
other 1
overcome 1
overuse 1
overweight 1
pair 4
papers 1
participated 1
pass 1
people 2
physiologically 1
plan 4
planning 1
point 1
power 10
powerless 1
powers 1
pretending 1
provided 1
provides 1
psychiatrist 2
psychic 1
public 1
push 7
pushed 1
pushes 1
pushing 2
pyrokinesis 1
pyrokinetic 1
quickly 1
quiet 1
raid 1
rainbird 10
receiving 1
refers 1
reforms 1
refuge 1
refuses 1
regains 1
released 1
res 1
rest 1
returned 1
reunited 1
revenge 1
rolling 1
run 2
running 1
rushes 1
seemingly 1
selfpity 1
separated 1
series 1
sets 2
several 1
she 8
shooting 1
shoots 1
shop 17
shot 1
sick 1
side 1
similar 1
simple 1
six 2
skyhigh 1
slightlycold 1
some 2
somehow 1
source 1
spirit 1
start 1
still 1
stone 1
stop 1
story 1
subconsciously 1
suburb 1
suburban 1
succeeds 1
successful 1
suicide 1
sure 1
surveillance 1
take 4
taken 2
telepathic 1
tell 1
terrorist 1
that 2
the 60
their 4
them 6
then 7
they 3
this 3
through 2
ties 1
time 2
times 1
to 37
tomlinson 1
track 1
tracked 1
trail 1
trust 1
try 1
turn 1
turning 1
two 1
unbiased 1
under 2
unknown 1
unleashes 1
until 1
up 7
upper 1
use 1
useless 1
uses 4
using 3
vehicles 2
vermont 1
veteran 1
vicky 1
victoria 1
vietnam 1
virginia 1
we 1
well 1
when 1
which 1
while 1
who 3
wife 2
with 16
work 1
workers 1
wounded 1
years 2
york 5
