538880
/m/02mzfz
/m/02mzfz
David Gerrold
1973
{"/m/07s2s": "Time travel", "/m/014dfn": "Speculative fiction", "/m/06n90": "Science Fiction", "/m/02xlf": "Fiction"}
1 1
150s 1
175 1
a 17
able 1
about 4
accompanies 1
activities 1
actually 2
after 3
age 1
ages 2
all 2
allowance 1
allows 1
also 1
alternate 4
america 1
an 2
and 20
are 1
around 1
as 3
at 4
backwards 1
become 1
becomes 2
becoming 1
beginning 1
begins 2
belt 1
betting 1
birth 1
book 1
but 1
by 2
called 1
change 1
changes 3
character 1
childhood 1
circle 1
college 1
come 1
companion 1
company 1
completely 1
confident 1
correct 1
daniel 16
day 2
death 2
decide 1
desires 1
develops 1
diane 5
diary 2
did 1
dies 1
different 1
does 1
dozens 1
eakins 1
early 1
either 1
empire 1
encounters 1
ends 1
enjoying 1
ensure 1
erased 1
events 3
eventually 1
existence 1
expenses 1
experience 1
experiences 2
explained 1
female 1
few 1
financial 1
finding 1
fit 1
following 1
for 2
fortune 1
from 1
full 1
future 4
give 1
gives 1
go 1
guide 1
had 1
has 5
have 1
having 4
he 18
him 2
himself 9
his 19
histories 1
history 2
hoping 1
horseracing 1
house 1
how 1
identity 1
in 8
increase 1
inevitable 1
inherit 1
inherits 1
interest 1
into 1
introverted 1
is 5
it 1
jim 4
jumps 2
keep 1
learns 3
less 1
life 2
limited 1
linear 1
living 2
lonely 1
long 1
longer 1
made 2
make 1
makes 2
many 1
meets 2
monthly 1
more 6
move 1
much 1
multiple 2
nature 1
new 1
no 1
not 1
now 1
nowcomplete 1
obsessed 1
of 18
offers 1
on 2
or 1
other 1
own 4
pair 1
paradoxes 1
party 1
past 2
personal 1
pregnant 1
preparations 1
previous 1
previously 1
promises 1
quickly 1
races 1
racetrack 1
raises 1
read 1
realises 2
reality 2
relate 1
relationship 3
repeatedly 1
result 2
returning 1
same 3
self 2
selves 1
separate 1
series 1
set 1
sets 1
sex 1
short 1
shortly 2
significant 1
single 1
situation 1
son 3
soon 1
spends 1
strange 1
stretch 1
student 1
that 10
the 35
then 1
this 1
thought 1
through 3
time 6
timebelt 6
timeline 2
timestream 1
timetravelling 1
to 24
traces 1
travel 1
trying 1
turn 1
ultimately 1
uncle 4
understand 2
universes 1
use 2
user 1
uses 1
vast 1
version 3
versions 2
view 1
visited 1
was 1
wearer 1
when 1
where 2
whether 1
which 2
who 3
whom 1
will 2
with 8
world 2
young 4
younger 1
