17897539
/m/047lw9j
/m/047lw9j
Victor Appleton
1921
a 6
aid 1
airborne 1
allows 1
also 1
an 1
and 5
are 1
assisting 1
at 3
baxter 3
blaze 1
boat 1
breaks 1
buildings 1
but 1
by 1
chemical 1
chemicals 1
company 1
construction 1
created 1
deliver 1
develop 1
developing 1
distress 1
during 1
dye 1
efficient 1
especially 1
factory 3
feels 1
fight 1
financial 1
fire 4
firemen 1
fireworks 1
formula 2
has 1
have 1
having 1
he 1
him 2
hired 1
in 2
is 3
it 1
josephus 1
laboratory 1
labs 1
launch 1
lead 1
loses 1
man 1
mayhem 1
more 1
mr 2
multistoried 1
naphtha 1
ned 1
new 3
newton 1
not 1
observing 1
of 4
on 1
or 1
out 2
owners 1
pity 1
positive 1
records 1
rescue 2
rescues 1
reviewing 1
skyscrapers 2
small 1
space 1
stolen 1
stories 1
suppressant 1
swift 1
system 1
that 2
the 16
there 1
these 1
they 1
thoughts 1
to 4
tom 4
town 1
troubles 1
upper 1
use 1
way 1
while 2
with 2
wonders 1
