18040846
/m/047sqvg
/m/047sqvg
John Patrick


a 21
about 1
acceptance 1
acquaint 1
act 1
action 1
after 2
aftermath 1
agrees 1
agriculture 1
all 6
also 3
ambition 1
american 3
americans 1
and 21
army 1
as 5
asides 1
assigned 1
attempts 1
audiences 1
august 1
b 3
backward 1
bases 1
bathrobe 1
be 1
beauty 2
better 1
between 1
blossom 2
both 1
bowls 1
brandy 1
brewing 1
brigadier 1
build 3
building 2
by 5
cages 1
called 1
calls 2
cant 1
capitalism 1
capitalist 1
capt 1
captain 3
captains 1
casas 1
character 2
characters 1
chaya 1
chief 2
churning 1
clash 1
col 2
colonel 3
come 1
comedies 1
comedy 1
coming 1
commanding 1
company 1
congress 1
cooperative 1
court 1
cricket 1
cultural 1
culture 3
cup 1
customs 1
danger 1
decides 1
democracy 1
democratic 2
democratically 1
designated 1
destroy 1
destruction 1
dickens 1
direction 1
discouraged 1
elected 2
end 1
endeavor 1
enough 1
establish 1
establishing 1
even 2
everything 2
export 1
fast 1
find 2
finds 1
first 1
fisby 10
fisbys 1
for 10
foresight 1
forgiven 1
fortuitous 1
framework 1
from 2
frustrated 1
gala 1
gallon 1
geisha 2
geishas 1
generals 1
gesture 1
get 1
getas 1
gifts 1
good 1
goodwill 1
government 2
grace 1
great 1
guide 1
had 1
handmade 1
hats 1
he 4
hero 1
hide 1
his 7
historical 1
hope 1
however 1
ii 1
implementing 1
in 6
inability 1
including 1
industry 1
inspection 1
instead 1
interpreter 1
into 1
is 15
island 2
it 2
items 1
job 1
judgment 1
just 1
knew 1
lacquered 1
ladies 1
lands 1
laughs 1
league 1
learn 1
learns 1
left 1
lessons 1
life 3
like 3
limitations 1
liquor 2
local 3
lotus 2
make 1
making 1
many 1
market 1
martial 1
mayor 1
means 1
military 2
misusing 1
model 1
moment 1
moneymaking 1
monologues 1
moon 1
mountain 1
name 1
named 1
native 1
natives 1
neighboring 1
newly 1
not 2
occupied 1
of 21
offer 1
officer 2
okinawa 2
on 3
once 1
oneself 1
only 1
opening 1
orders 1
out 1
outsmart 1
peace 1
pentagon 2
plan 4
play 1
plus 1
police 1
potato 1
preserving 1
president 1
pretend 1
product 1
products 2
progress 1
proves 1
providing 1
pucklike 1
purdy 6
quick 1
rebuild 1
receiving 1
rendition 1
reprimanded 1
returns 1
rich 1
right 1
round 1
sakini 3
sandals 1
school 1
schoolhouse 1
see 2
selling 2
serenading 1
shaped 2
shell 1
slower 1
sometimes 1
somewhere 1
soon 1
stage 1
star 1
starts 1
step 2
stills 1
story 1
straw 1
success 1
supplies 2
sweet 1
taking 1
tasked 1
teaching 1
teahouse 7
that 2
the 48
their 3
they 2
things 1
through 5
tiny 1
to 17
tobiki 5
touted 1
town 1
tradition 1
transferred 1
tries 1
turning 1
understand 1
up 1
use 1
village 1
villagers 7
votes 1
war 1
was 1
way 1
we 3
well 1
when 4
which 1
whose 1
wife 1
will 1
with 5
wooden 1
world 1
young 1
