18267433
/m/04czc5m
/m/04czc5m
Doris Gates
1940
{"/m/0dwly": "Children's literature"}
130s 1
a 6
america 1
an 1
and 9
as 2
attend 1
barely 1
belonged 1
beside 1
blue 1
bounce 1
bridge 1
california 1
call 1
can 1
close 1
constantly 1
county 1
daughter 1
depression 1
despite 1
difficulty 1
dreams 1
effects 1
faced 1
fair 1
falls 1
family 4
farm 1
father 1
fishing 1
friend 1
friends 1
fun 1
goes 1
great 1
greatgreatgrandmother 1
grinding 1
had 2
has 2
have 1
having 1
her 7
home 2
house 1
in 3
is 8
itinerant 1
janey 5
joaquin 1
larkin 1
lasting 1
late 1
little 1
loving 1
lupe 1
migrant 1
most 1
move 1
no 2
now 1
of 4
old 1
on 1
once 1
one 1
own 1
pattern 1
paying 1
permanent 1
picture 1
place 1
plate 2
possession 1
poverty 1
remember 1
rent 1
rentcollector 1
represents 1
reyburn 1
river 1
sacrifice 1
san 1
she 2
sick 1
stepmother 1
still 1
stream 1
suffering 1
tenyearold 1
texas 1
that 2
the 15
they 1
to 4
treasure 1
treasured 1
unsympathetic 1
valley 1
when 4
willow 2
with 1
worker 1
