18657850
/m/04gp3s6
/m/04gp3s6
Jonathan Kellerman
2002-01-01
a 5
album 1
alex 5
an 1
and 2
announces 1
arrives 1
as 4
at 2
be 1
been 1
body 1
book 2
by 1
cases 2
containing 1
cop 1
crew 1
delaware 1
depicting 1
detective 1
disturbed 1
drinking 1
dumped 1
during 1
enigmatic 1
first 1
for 1
friend 1
girlfriend 1
had 1
hard 1
heavily 1
his 1
home 1
homicide 2
house 1
image 1
inspects 1
is 2
labeled 1
milo 2
murder 2
music 1
of 6
on 1
one 1
package 1
paris 1
part 1
photo 1
photographs 1
question 1
relationship 1
remains 1
road 1
robin 2
rock 1
rookie 1
she 1
split 1
start 1
strangled 1
sturgis 1
surprise 1
that 1
the 8
time 1
to 3
tortured 1
tour 1
trip 1
uses 1
various 1
victims 1
violent 1
was 1
well 1
while 1
who 2
will 1
with 1
woman 1
working 1
young 1
