18746505
/m/04gjlh6
/m/04gjlh6
Manuel Puig
1980
180 1
182 1
74year 1
a 2
abruptly 1
accepts 1
an 1
and 3
apparently 1
are 1
argentine 1
arousal 1
as 3
basic 1
care 1
clear 1
college 1
concepts 1
conversations 1
curse 1
dialogue 1
digresses 1
each 1
elaborate 1
english 1
eternal 1
events 1
expatriate 1
explanation 1
former 1
greenwich 1
happened 1
has 1
have 2
his 2
in 1
intimate 1
into 1
is 2
job 1
knowledge 1
larry 1
lost 1
love 1
may 3
melodramatic 1
memory 1
men 2
mr 2
near 1
not 1
novel 1
of 5
often 1
old 1
on 1
or 1
ostensibly 1
other 1
otherwiseunemployed 1
pages 1
parttime 1
pasts 1
poor 1
ramirez 2
reader 1
reenactments 1
reveal 1
set 1
sexual 1
somehow 1
square 1
strangers 1
student 1
such 1
taking 1
that 2
the 4
their 1
these 1
they 1
though 1
to 1
translation 1
two 2
understanding 1
village 1
washington 1
well 1
who 1
without 1
