18826873
/m/04gn0hg
/m/04gn0hg
Susan Elizabeth Phillips
1997
{"/m/01qxvh": "Romance novel"}
34th 1
a 6
action 1
after 1
an 2
and 5
are 1
average 1
baby 1
bargained 1
birthday 1
bonner 1
but 2
cal 2
can 2
characters 1
chicago 1
darlington 1
decides 1
discovers 1
dont 1
dr 1
duplicity 1
ending 1
engaging 1
error 1
ever 1
fall 1
family 2
feelgood 1
filled 1
find 1
football 1
for 2
galore 1
has 1
her 3
honesty 1
how 1
humor 1
husband 1
in 2
interfering 1
into 1
is 1
it 1
jane 2
known 1
laughs 1
legendary 1
lot 1
lots 1
love 2
man 1
miss 1
more 1
nerdy 1
never 1
not 1
of 2
one 1
or 1
perfect 1
physics 1
plan 1
player 1
preferably 1
professor 2
quarterback 1
results 1
sets 1
she 5
some 1
spends 1
stars 1
stupid 1
succeeds 1
tears 1
than 1
that 1
the 2
this 1
trail 1
understanding 1
wants 1
when 1
where 1
who 1
whole 1
with 3
