20113453
/m/04yhd_5
/m/04yhd_5
Enid Blyton
1956
a 11
abandoned 1
about 6
adorable 1
adventurous 1
after 2
again 1
all 1
alone 1
also 3
an 4
and 29
anne 7
annoyed 3
anything 1
archaeologist 1
are 2
area 1
as 2
ask 1
asks 5
at 1
aunt 1
back 1
bad 1
be 2
because 2
behavior 1
being 1
beside 1
black 1
both 1
boy 7
broken 1
bush 1
but 7
by 1
called 1
came 1
camp 8
cardboard 1
carters 1
choice 1
close 1
cold 1
collar 3
come 2
comes 2
coming 1
common 2
condition 1
cottage 12
cousin 1
day 1
decide 1
dick 4
digging 1
disappointed 1
discover 1
discuss 1
disturbing 1
dog 1
down 1
drink 1
during 1
ear 2
educational 1
end 1
everyone 1
excited 1
face 1
family 1
fanny 1
figure 1
figures 1
find 3
finds 1
five 1
for 2
four 1
free 1
fresh 1
from 3
george 16
get 1
girls 3
goes 4
gone 1
guy 1
had 4
happy 2
harry 1
has 2
have 4
he 10
hears 1
help 1
her 9
hide 1
him 6
his 3
hurt 1
if 1
in 5
informs 1
inquire 1
interesting 1
into 1
is 10
it 1
jet 3
julian 4
just 1
kind 1
kirrin 2
lane 1
later 1
laughed 1
lawdler 1
leaves 2
lie 1
lightning 2
lights 1
looking 1
lost 1
made 1
man 1
meals 1
meet 1
middle 1
mongrel 1
morning 2
most 2
near 1
never 1
news 1
next 4
night 3
no 2
nobody 1
not 1
note 1
nothing 1
of 13
off 1
old 4
on 3
oneeyed 1
only 1
or 1
other 1
outlined 1
own 1
pangs 1
pays 1
people 1
place 2
planned 1
prevent 1
promise 4
queer 1
reach 2
reading 1
replies 2
roman 1
round 1
ruined 1
saw 2
says 1
scratching 1
search 1
see 2
sees 2
send 1
she 15
shelter 1
shouldnt 1
shows 1
signals 1
sinister 1
sleep 1
small 1
so 1
some 4
son 1
spring 2
start 1
starts 1
storm 2
strange 1
streak 1
suddenly 1
surprised 1
taking 1
teasing 1
telling 1
tells 8
than 1
that 10
the 47
their 4
them 5
then 3
there 4
they 18
thirst 1
three 1
through 1
timmy 7
to 18
together 1
too 1
tour 1
towards 1
trees 1
twins 1
unusual 1
up 1
usual 1
very 2
vet 1
visit 2
voices 1
walk 1
wandering 1
was 7
watch 1
wearing 1
were 3
what 1
when 5
where 2
whether 1
which 1
white 1
who 3
why 2
willing 1
window 1
with 3
woken 1
worried 1
wouldnt 1
