20539993
/m/051_szh
/m/051_szh
Mercedes Lackey

a 17
abilities 2
ability 1
about 1
accepted 1
actually 1
adjust 1
adulthood 1
aerie 2
after 3
air 2
aketten 8
all 7
along 1
also 1
alta 14
altan 9
altian 1
among 1
an 4
and 37
animals 1
apart 1
appears 1
are 5
ari 8
armies 2
army 1
as 13
assuring 1
at 3
atlan 1
avatre 5
away 2
back 1
based 1
battle 3
battling 1
be 3
beatings 1
bedu 2
begins 1
best 1
between 1
bloodborn 1
body 2
border 1
both 5
boy 1
boys 1
brother 1
built 1
but 1
by 4
call 1
calling 1
canals 1
caught 1
central 1
challenges 1
changes 2
chase 1
childhood 1
citizens 1
city 7
climax 1
closes 1
combined 1
coming 1
complete 1
compound 3
concept 1
concerning 1
constantly 1
control 2
convince 1
convinces 1
coordinated 1
correctly 1
country 2
creators 1
cruel 1
culminates 1
dangerous 1
daughter 1
day 1
dead 1
deal 1
decides 1
defeat 1
desert 4
detriment 1
died 1
dislodged 1
do 1
dragon 8
dragonboy 2
dragons 5
due 1
during 1
earthen 1
egg 1
eight 1
elements 1
enemy 1
escape 1
escaping 1
even 1
eventually 2
exception 1
exercising 1
extended 1
fail 1
failure 1
family 5
far 1
fat 1
father 1
female 1
fields 1
fight 1
fighting 1
find 2
first 5
flies 1
fly 1
follows 4
for 5
found 2
friends 2
from 10
functional 1
get 1
gets 2
girl 2
given 1
god 1
gods 1
ground 1
group 2
growing 1
grown 1
grows 1
had 2
half 1
hands 1
happen 1
harsh 1
has 3
hatching 4
having 1
he 10
heir 1
heirs 1
help 3
helps 1
her 2
heyskin 3
him 3
hippo 1
his 17
horses 1
hub 1
in 17
includes 1
including 1
information 2
inhabitants 2
inside 1
into 4
is 12
it 1
its 1
join 1
joining 1
joust 1
jousters 14
kashet 4
khefti 2
killed 1
kiron 12
known 1
land 3
lands 1
large 1
last 1
later 1
leading 1
learn 1
leave 1
leaving 1
legend 1
life 2
likes 1
liking 2
lord 2
lower 1
luck 1
magi 4
magic 2
make 1
master 2
meet 1
member 1
members 2
mission 2
more 3
moving 1
much 2
murdered 1
must 2
myriad 1
mysterious 1
name 3
named 1
names 1
nation 1
new 6
newly 1
no 1
noble 1
nomad 1
nomadic 1
not 2
novel 3
now 1
obey 1
of 43
old 1
on 10
one 9
only 2
other 4
others 1
out 2
over 2
own 2
patrol 1
people 3
place 1
plan 1
pleasant 1
plot 1
possible 1
power 2
powerful 1
presumably 1
priests 1
proves 1
purpose 2
put 1
quite 1
raise 1
raised 2
raises 1
ranks 3
real 2
refugees 2
refuse 1
relationship 2
remove 2
renamed 1
rescue 2
respects 1
rest 2
revealed 1
riders 1
rings 1
routes 1
run 1
sanctuary 6
save 1
search 1
second 1
secret 1
securing 1
seen 1
sees 1
sends 1
separated 1
serf 1
serfdom 1
seven 1
she 1
sides 1
since 1
situations 1
slave 1
slaving 1
societal 1
someone 1
speak 2
start 1
step 1
still 2
story 1
structure 1
surmise 1
survives 1
sustaining 1
symbol 1
take 1
takes 2
taking 1
tala 2
targeted 1
telepathically 1
tell 1
temporarily 1
than 1
thanks 1
that 9
the 91
their 5
them 3
then 1
there 3
they 6
this 3
though 2
throne 1
through 1
thus 1
tia 6
tian 6
tied 1
to 31
tolerating 1
tools 1
toward 2
trade 1
tradition 1
transition 1
trick 1
trickle 1
tries 2
truth 1
try 1
two 2
uncover 1
under 2
unique 1
united 1
unsure 1
up 1
use 1
vetch 10
was 1
water 1
what 1
when 4
where 2
which 1
while 1
who 4
whom 1
will 2
wing 8
with 8
work 1
worsening 1
yatiren 2
young 1
