20611803
/m/052203b
/m/052203b
Peter Ackroyd
1985-09
18th 1
20th 1
a 3
all 3
an 1
and 2
appeared 1
architect 1
are 1
area 1
around 1
as 2
associates 1
bear 1
becomes 1
bizarre 1
brand 1
brought 1
buildings 1
but 1
by 3
called 1
carefully 1
century 2
challenging 1
christopher 1
churches 2
clear 1
closest 1
come 1
concerning 1
construction 1
contempt 1
dcs 1
designed 1
destructive 1
discussions 1
disguised 1
dyer 4
early 1
east 1
end 1
even 1
fact 1
fingerprints 1
for 1
forces 1
from 2
have 3
hawksmoor 2
he 3
him 1
his 2
however 2
human 1
identifying 1
in 10
including 1
inculcated 1
indulges 1
investigate 1
investigation 1
involved 1
is 6
it 1
keep 1
left 1
london 1
manner 1
more 2
murderer 1
murders 2
must 1
mysterious 1
mysticism 1
mystifying 1
necks 1
nicholas 2
no 1
not 2
occurred 1
of 5
on 3
only 1
orphan 1
own 1
part 1
past 1
powerful 1
practices 1
progressing 1
rationalism 1
sacrifice 1
satanic 1
secret 1
series 1
set 1
several 1
shadows 1
simmering 1
since 2
sir 1
something 1
stalked 1
strangulation 1
supervisor 1
surface 1
that 2
the 15
they 1
this 1
to 4
traces 1
unseen 1
versus 1
victims 1
weight 1
which 1
work 1
wren 2
