20918853
/m/03hqjxr
/m/03hqjxr
Daniel Silva
2003
{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 22
abandon 1
abbey 3
about 4
accompany 1
according 1
account 2
achille 1
adds 1
admonition 1
affirms 1
after 1
again 1
agents 1
alessio 2
all 1
alleys 1
allon 33
allons 6
almost 1
also 5
although 1
an 4
and 39
angers 1
announcing 1
another 2
anticipates 1
antonia 1
any 2
anyone 1
appointment 1
are 2
arrival 1
arrives 2
art 1
as 6
assassin 1
assassination 1
assured 1
at 15
attention 2
attests 1
audience 1
aviv 1
back 1
bartoletti 1
basement 1
be 2
because 1
been 2
being 2
benjamin 1
between 3
board 1
boat 1
book 1
both 1
brenzone 3
brindisi 4
british 1
brotherhood 1
but 8
by 4
called 1
caller 1
calls 1
can 1
cancel 1
candid 1
carabinieri 1
carcassi 1
cardinal 2
carlo 1
cases 1
cassagrande 6
cassagrandes 1
catholic 3
certain 1
certainly 1
chiara 3
chooses 1
church 6
churchs 1
cites 1
clandestine 1
clear 1
close 1
clues 2
collaborated 1
colleague 1
comes 1
commissions 1
commitment 1
commits 1
community 1
complicates 1
computer 1
conclave 1
conclude 1
confess 1
confides 1
connect 1
connection 1
considerable 1
consulted 1
consults 1
contacts 3
control 1
convent 3
conviction 1
cooperation 1
copy 1
costs 1
could 1
counterpart 1
cover 1
crashes 1
creates 1
crime 1
critical 1
crux 8
curia 3
current 1
cuts 1
damaging 1
danger 1
darken 1
daughter 2
dead 1
death 6
defend 1
delivers 1
denunciation 1
denying 1
departure 1
deport 1
deportation 1
desire 1
destroys 1
details 2
detective 2
determination 1
developed 1
devoted 1
did 1
difficult 1
dilemma 1
director 1
disappearance 1
disappearances 1
discovering 1
discussion 1
document 1
documents 3
down 2
during 2
each 1
elements 1
eli 5
eliminate 1
elusive 1
empire 1
encounters 1
ends 1
enjoys 1
eric 4
escape 2
especially 1
established 1
european 1
eventually 1
everyone 1
evidence 1
executive 1
existence 1
expedited 1
explains 1
fact 1
feelings 1
feels 2
few 1
files 1
financial 2
findings 2
finds 1
first 1
flat 1
fleeing 1
follow 1
for 10
force 1
forced 1
foreign 1
former 2
found 1
from 6
further 2
gabriel 1
gains 1
garda 1
gave 1
general 1
german 1
gets 1
governments 1
group 1
had 5
harboured 1
hard 1
has 4
have 2
he 8
heart 3
helped 1
her 3
him 3
himself 3
hired 2
hires 2
his 16
hitman 2
holocaust 3
holy 1
homicide 2
hotel 1
however 2
huber 3
husseini 2
identifying 1
identity 2
ignores 1
ii 1
immediately 1
in 15
independent 1
indicate 1
inform 2
information 1
informs 1
instead 3
instigator 1
intends 1
intention 1
interest 1
investigate 1
investigation 4
is 6
israel 1
israeli 1
it 1
italian 2
italy 1
its 3
jew 1
jews 8
john 1
journalist 2
judgement 1
katsa 1
keep 1
kept 1
kill 1
killed 2
killing 3
kills 2
knowledge 2
lack 1
lake 1
lange 10
late 1
later 3
lavon 1
leader 2
leaders 1
leads 1
leaked 1
learns 2
leaves 2
led 1
leopard 3
letter 2
life 1
like 1
links 2
living 1
local 1
locates 1
london 1
lucchesi 1
luther 3
luthers 2
lying 1
made 1
maintain 1
malone 5
malones 1
manages 2
many 1
marco 2
martin 5
matters 1
meanwhile 3
medical 1
meet 2
meeting 5
meets 1
members 4
men 1
met 1
might 1
missing 3
mission 1
monitoring 1
months 1
more 1
mossad 3
mother 4
motive 1
motorbike 1
munich 2
murder 2
murdered 1
murderer 1
murders 1
must 4
name 1
named 1
narrow 1
navigate 1
nazi 6
nazis 2
new 1
newspapers 1
no 3
northern 1
not 4
notifies 1
now 1
of 46
offenses 1
office 1
on 4
only 2
opponents 1
opportunity 1
oppose 1
opposite 1
option 1
orchestrated 1
orphan 1
other 3
out 1
over 2
overheard 1
own 1
pact 1
paints 1
papal 1
paul 6
pavement 1
pazner 1
people 1
person 1
personal 2
personally 3
peter 1
picture 1
pietro 1
places 1
plot 1
points 1
police 5
policy 1
pope 9
popes 7
positive 1
potentially 1
power 2
powerful 1
premises 1
present 1
press 1
presumed 1
priests 3
private 1
professional 2
protect 1
provence 1
proves 2
provides 1
published 1
pucci 2
purportedly 1
purpose 1
pursue 1
question 1
rabbi 1
raised 1
rashid 1
rather 1
recent 1
recovers 1
refuge 1
regina 4
relates 1
relations 1
removal 3
remove 1
renounces 1
reputation 2
rescues 1
research 3
restoration 1
result 1
return 1
returns 1
reveals 2
rid 1
roberto 1
role 2
roman 1
romantic 1
rome 4
rossi 5
sacred 3
safeguard 1
same 2
scene 1
scholar 1
search 1
seconds 1
secret 2
secretly 2
secrets 1
secures 1
security 2
see 1
seek 1
seeks 1
seems 1
sees 2
seizes 1
series 1
serves 1
shamron 3
share 2
she 4
shimon 1
shoot 1
short 1
shortly 1
shows 1
sister 4
so 1
society 2
societys 2
solve 1
some 1
soon 1
sought 1
speak 3
special 1
speech 1
spiritual 1
staff 1
stayed 1
stems 1
stern 13
sterns 3
story 2
street 1
such 1
suggest 1
suggests 2
suicide 1
superior 2
surfaces 1
surmises 2
surprisingly 1
surveillance 1
suspect 1
switzerland 1
synagogue 6
task 1
tasked 1
team 2
technician 1
tel 1
tells 1
terrible 1
terrorist 1
testimony 1
that 32
the 125
their 3
then 2
there 2
they 2
this 3
through 2
throughout 1
thus 1
time 3
to 52
track 2
trastevere 1
travels 2
true 1
truth 1
tumbles 1
two 3
unearth 1
uneventful 1
unidentified 1
unit 1
until 1
up 1
upon 2
urges 1
vatican 8
vehemently 1
venice 1
vera 8
verity 1
very 1
vienna 2
vii 5
village 1
vincenza 3
visit 1
visited 1
warns 1
was 3
were 3
when 2
where 2
which 1
while 3
who 6
whom 2
will 2
wished 1
with 15
within 4
witnessed 1
work 1
works 1
would 1
wouldbe 1
wounding 1
wounds 1
wrote 1
yet 1
zealous 1
zolli 5
