20990348
/m/05b4h22
/m/05b4h22
Susan Choi
2008
a 12
absence 1
actions 1
actually 2
administrators 1
affair 1
after 2
again 1
aileen 5
although 1
amateurish 1
an 3
and 9
apprehend 1
as 5
at 2
attention 2
attracts 1
authorities 2
aware 1
backed 1
becomes 1
been 1
begins 1
blinded 1
bomb 1
bomber 5
bombing 1
both 1
broke 1
but 1
by 4
cabin 2
candidate 1
career 2
christian 1
clearly 1
close 1
closes 1
colleague 2
comes 1
consequently 1
corner 1
cost 1
countryside 1
dawns 1
de 1
deadly 1
decides 1
determined 1
different 1
disclose 1
discovers 1
divorces 1
down 1
draws 1
drifting 1
early 2
efforts 1
embarrassed 1
evade 1
evangelical 1
events 2
explosion 1
eye 1
facto 1
failure 1
figure 1
finds 1
first 2
for 2
forced 1
fortunately 1
from 4
furnish 1
gaither 5
ghosts 1
gradually 1
graduate 1
has 2
hatred 1
have 1
he 2
her 2
him 4
himself 2
his 14
houses 1
however 1
identify 1
identity 1
in 10
increasingly 2
indifference 1
interest 1
into 3
is 3
isolated 1
journeying 1
just 1
label 1
large 1
lay 1
leave 1
lee 17
letter 3
life 4
light 1
longdead 1
lost 2
made 1
marriage 3
mathematics 1
midwestern 1
mistakes 1
more 1
nearretirement 1
neighbouring 1
neighbours 1
never 1
not 1
novel 2
now 3
obscurity 1
obvious 1
of 8
office 2
on 3
once 1
one 1
own 1
part 1
past 1
period 1
person 1
police 1
press 1
professor 2
public 1
realisation 1
reflections 1
remote 1
reopens 1
repercussion 1
rest 1
return 1
reveals 1
same 1
saw 1
school 1
second 1
secretly 1
slowly 1
so 1
solitary 1
son 2
status 1
successful 1
suddenly 1
supplying 1
suspect 1
suspicious 1
suspiciously 1
switch 1
tenured 1
that 6
the 28
these 1
they 2
this 2
thoughts 1
tired 1
to 18
too 1
track 1
twitchy 1
two 1
ultimately 1
understanding 1
unhealed 1
university 2
unmask 1
until 1
unwelcome 1
up 1
viewed 1
waiting 1
was 2
when 1
which 1
who 2
with 5
withholds 1
wounds 1
