21016158
/m/05b3ftr
/m/05b3ftr
Kris Saknussemm
2005-10
{"/m/06n90": "Science Fiction"}
a 8
about 1
accompanied 1
after 1
agents 1
america 1
an 1
and 5
aretha 1
away 1
between 1
borders 1
bus 1
but 1
by 3
camouflaged 1
can 1
cartoon 1
cell 2
central 1
character 1
characters 1
city 1
clearfather 3
clues 1
corporations 1
crossdressing 1
cultporation 1
decide 1
disappearing 1
distinctions 1
dooley 1
dubba 1
duck 1
elijah 1
everyone 1
forty 1
found 1
future 1
government 1
have 1
him 1
his 2
hologram 1
identity 2
important 1
in 5
ink 1
interests 1
into 1
is 3
journey 1
kokomo 1
lawyer 1
leader 1
leading 1
learn 1
little 1
locations 1
main 1
marked 1
murderous 1
mysterious 1
new 1
nightengale 1
note 1
now 1
of 2
on 1
once 1
only 1
outside 1
park 1
pass 1
powers 1
provide 1
pursued 1
religion 1
resistance 2
revolution 1
safe 1
selfdiscovery 1
send 1
set 2
sexual 1
story 1
the 8
their 1
they 2
three 1
to 2
true 1
ubba 1
vanished 1
vitessa 1
which 1
with 2
witnesses 1
written 1
years 1
york 1
