616880
/m/02x0n5
/m/02x0n5
Theodore Roszak
1991
{"/m/05hgj": "Novel"}
141 1
160s 1
2014 1
30 1
a 17
about 1
academic 1
acclaimed 1
achieve 2
adapt 1
adverse 1
affair 2
after 1
ages 1
allow 1
also 1
among 1
an 2
and 6
angelotti 2
apocalypse 1
are 3
armageddon 1
artful 1
as 7
at 3
attempt 1
attempts 1
awakes 1
become 1
becoming 1
begins 4
belongs 1
bmovie 1
bring 1
by 1
castle 5
castoffs 1
cathar 1
catharism 1
catholic 2
celluloid 1
chair 1
champion 1
church 1
citizen 1
clare 4
clarissa 1
classic 3
coffee 1
collaboration 1
come 1
conclusive 1
connections 1
conrad 1
considerable 1
constant 1
course 1
critic 1
culminating 1
darkness 1
despite 1
director 2
directors 1
disappearance 2
discovered 1
disguise 1
don 1
drug 1
dualists 1
dunkle 1
early 1
effect 2
elders 1
en 1
enact 1
entertainment 1
entrusting 1
eventually 1
evidence 1
extensive 2
extensively 1
failed 1
faith 1
father 1
favour 1
film 6
films 4
final 1
followed 1
for 3
former 1
from 1
gates 10
generation 1
german 1
gnostic 1
gradually 1
great 1
group 1
has 2
having 1
he 6
heart 1
help 1
her 1
him 4
himself 1
his 9
history 1
however 1
hut 1
idolised 1
imagery 1
imprisoned 1
in 12
independent 1
indian 1
industry 1
infiltrate 1
influence 2
introduces 1
investigate 1
is 5
island 1
it 1
jonathan 1
kane 1
known 1
learns 3
living 2
love 1
lover 1
make 1
max 3
meanwhile 1
meet 1
middle 1
more 1
most 1
movie 2
moviegoers 1
nearby 1
new 2
none 1
obtain 1
ocean 1
of 16
old 1
on 3
once 1
one 2
onetime 1
origin 1
orphanmade 1
orphans 5
orson 1
ostensibly 1
other 1
over 3
own 1
owner 1
persecutions 1
personality 1
persuades 1
plane 1
plans 1
powerful 1
priest 1
private 1
professorial 1
projectionist 1
promote 1
publish 1
pursuit 1
put 1
ranks 1
reader 1
rediscoverer 1
relationship 1
religion 1
religious 2
research 2
respected 2
revealed 1
rises 1
route 1
rundown 1
same 1
scraps 1
screen 1
secrecy 1
sect 1
shadowy 1
shallow 1
sharkey 2
she 1
show 1
showcases 1
showing 1
silver 1
simon 1
since 1
so 1
splice 1
stifle 1
stops 1
storm 1
student 1
study 1
stumbles 1
subliminal 1
subliminally 1
suspect 1
swann 1
symbolism 1
than 2
that 5
the 34
theatre 4
their 5
they 4
through 3
time 1
to 21
together 1
tropical 1
turns 1
tutors 1
ucla 1
unorthodox 1
upandcoming 1
upon 1
use 1
uses 1
using 1
viewer 1
viewing 1
wait 1
wasteheap 1
well 1
welles 1
what 1
where 1
while 2
who 2
whom 1
whose 1
will 1
with 4
work 3
year 1
years 1
york 1
