21730803
/m/05mwnvl
/m/05mwnvl
Philip Roth
2009-11-02
17 1
1yearold 1
26 1
40yearold 1
a 22
about 3
abusing 1
accuses 1
acquaintance 1
acting 1
actor 2
actors 1
admits 2
adventure 1
advice 1
affair 1
after 8
afterward 1
against 1
age 1
agent 1
agreed 1
all 1
also 1
an 3
and 19
angry 1
another 2
are 1
around 1
as 3
asa 2
asks 2
at 9
attempting 1
attempts 1
attic 1
axler 18
ballerina 1
bar 1
be 2
because 1
become 1
becomes 1
begin 1
begins 1
believes 1
born 1
botch 1
brings 1
broken 1
buren 1
but 2
california 1
call 1
calls 2
catching 2
cause 1
center 1
character 1
checks 1
child 1
college 2
community 1
contacts 1
contemplate 1
daughter 3
day 2
days 1
deal 1
dean 1
decided 2
decides 2
defense 1
depression 2
despite 1
did 1
difference 1
dining 1
directs 1
disapproves 1
distressed 1
drunk 1
ending 1
ends 1
envies 1
estranged 1
expresses 1
failure 1
famed 1
famous 1
fan 1
fantasy 1
father 2
fearing 1
fears 1
feels 1
fertility 1
finds 1
for 4
former 1
from 2
furious 1
getting 1
gift 1
give 1
go 1
has 3
have 2
having 1
he 15
help 1
her 19
him 11
himself 2
his 12
home 4
hospital 4
house 1
husband 4
immediately 1
in 13
inexplicably 1
into 3
is 5
james 1
jerry 1
job 2
journey 2
just 1
keeps 1
kennedy 1
kept 1
kill 1
killed 1
kills 1
lansing 1
lara 2
later 2
lead 1
learned 1
leaving 1
lesbian 1
letter 1
listening 1
lived 1
lives 1
local 1
long 2
loses 1
louise 3
macbeth 1
made 1
mail 1
man 1
meets 1
merely 1
michigan 2
mike 1
mistake 1
months 2
moved 1
moves 1
movies 1
murder 1
named 1
nearby 1
new 1
newspaper 1
night 2
not 2
notices 1
now 1
of 7
off 1
offer 1
offers 2
old 1
on 3
one 2
oppenheim 2
or 1
out 1
parents 4
patient 1
pays 1
pegeen 14
perform 1
performed 1
physician 1
play 1
poor 1
portraying 1
previous 1
problems 1
professional 1
professor 1
profound 1
prospero 1
psychiatric 1
reads 1
reassignment 1
recognize 1
recognized 1
refuses 1
rejuvenated 1
relationship 4
removing 1
renner 1
reporting 1
restaurant 1
reviews 1
roleplaying 1
says 1
school 1
second 1
secret 1
secured 1
sending 1
sex 1
sexagenarian 1
sexual 1
sexually 1
shame 1
she 10
shot 1
shotgun 2
shouting 1
simon 3
sister 1
sixyear 1
sleeping 1
slept 1
smitten 1
son 1
soon 1
specialist 1
stage 2
stalking 1
stapleford 1
stays 1
stint 1
student 1
success 1
suddenly 1
suicide 2
surgery 1
suspects 1
sybil 5
take 1
tell 2
telling 2
tells 3
thanking 1
that 5
the 18
theater 1
their 4
them 3
there 1
they 1
this 1
threesome 1
time 2
tirade 1
to 19
tracy 2
turned 1
tv 1
two 2
tyrone 1
unable 1
undergo 1
up 1
upstate 1
van 1
vermont 1
victoria 1
visit 1
visits 2
wanted 1
wants 2
was 2
washington 1
weak 1
weeks 1
where 1
whether 1
while 1
who 3
why 1
wife 1
willing 1
with 11
without 1
woman 2
women 1
work 1
would 2
write 1
years 1
york 1
young 2
