22012816
/m/05p59z3
/m/05p59z3
Harry Turtledove


a 17
actions 1
acts 1
advance 1
advancing 1
aemilius 1
after 3
again 1
against 2
agrees 2
aid 1
ally 1
alone 1
alypia 3
an 8
and 27
another 3
any 1
apologize 1
apparent 1
apparently 1
are 1
army 7
arrival 1
as 5
assassin 2
at 6
attack 1
attempt 1
avshar 13
await 1
back 1
barbarian 1
battle 3
becomes 1
before 1
begins 1
being 1
best 1
betrayal 1
betrayed 1
blades 1
boat 1
bodyguards 1
bolster 1
both 1
bring 1
bringing 1
brother 2
bullheadedness 1
bumps 1
but 5
by 4
called 1
campaign 1
can 3
capitol 1
caravan 1
casts 1
celebrate 1
celtic 2
certain 1
chaos 1
charge 1
chooses 1
citizens 1
city 6
civil 1
clever 1
come 1
coming 1
commander 1
commutes 1
company 1
condition 1
controls 1
could 1
countries 1
dangerous 1
dealt 1
death 1
declare 3
defeating 1
defend 1
destination 1
destroyed 1
directly 1
discovered 1
disguise 1
do 1
down 3
duel 1
during 1
east 2
edge 1
emerges 1
emissaries 1
emissary 1
emperor 5
empire 6
encounter 1
ends 1
enemy 3
engages 1
entire 1
erupts 1
escape 2
eventually 2
excuse 1
fails 2
falling 1
fate 1
favor 1
final 1
find 2
flee 2
fleeing 1
flees 2
floor 1
follow 1
for 2
force 5
forced 2
forces 4
frees 1
from 3
front 1
full 1
gaius 1
gates 1
going 1
grand 1
granted 1
great 1
group 1
guards 1
guerrilla 1
half 2
has 1
hauled 1
have 1
he 14
held 1
hell 1
help 2
helpless 1
her 1
heretic 2
him 3
himself 1
hires 1
his 16
hoping 1
horse 1
in 11
including 1
inebriated 1
inside 1
into 2
intrigue 1
is 11
it 2
jail 1
kept 1
kill 1
kills 1
king 1
lands 1
landscape 1
laon 1
lead 1
leader 4
leaders 2
leads 1
least 1
led 1
left 1
legion 3
legionaries 2
life 1
loyalty 1
magic 2
magically 1
man 1
manages 3
marcus 14
marriage 1
mashiz 1
mavrikios 3
men 1
mercenaries 3
mercenary 3
more 1
nation 1
navigate 1
niece 1
nomad 2
nomads 1
none 1
of 31
on 6
one 2
only 1
open 1
openly 1
opposing 1
orders 1
organize 1
ortaias 6
other 2
over 1
overthrow 1
own 4
pakhymer 1
particularly 1
party 1
patriarch 1
personal 1
philippus 1
place 2
plan 1
political 2
position 1
power 1
prisoners 1
provided 1
put 2
quick 1
quickly 1
rather 1
rebelling 1
rebellion 1
rebuffed 1
recruit 1
relationship 1
released 1
remove 1
rescue 1
rest 1
results 1
returns 1
revealed 1
revenge 1
rife 1
right 1
roman 2
romans 1
safely 1
scaurus 1
seeing 1
seek 1
seems 1
sends 3
sentence 1
sentences 1
set 1
sets 1
shame 1
significant 1
signs 1
skotos 1
slightly 1
slips 1
soldiers 1
spare 1
speed 1
spell 1
sphrantzes 1
steadfast 1
struck 1
subcommander 1
successfully 1
such 1
suffering 1
suit 1
swords 1
tactics 1
take 2
than 2
that 7
the 71
their 3
them 2
themselves 1
then 1
there 1
these 1
they 2
this 3
thorisin 11
thorisins 1
threats 1
through 1
title 1
to 37
together 1
total 1
touch 2
train 1
transported 1
transports 1
tries 1
troops 1
turn 2
turns 2
two 1
uncle 1
unfortunately 1
up 2
upon 2
uses 1
usurpers 1
usurping 1
victorious 1
victory 1
videssian 1
videssos 7
viridovix 1
war 2
warriors 1
was 1
west 2
western 2
when 4
while 2
who 2
wife 2
wing 3
wins 1
with 7
witnesses 1
won 1
world 2
yezd 9
