22395824
/m/05sxsnc
/m/05sxsnc
Chris Bradford
2009-07-02
a 4
after 2
an 1
ancient 1
and 5
are 1
attack 1
battle 1
be 1
but 1
circle 2
classmates 1
complete 1
courage 1
dangerous 1
deadly 1
death 1
defeating 1
dragon 2
enemies 1
entry 1
eye 2
far 1
father 2
first 1
fletcher 1
for 2
forced 1
formidable 1
from 2
gained 1
gaining 1
glory 1
going 1
great 1
guide 1
has 2
have 1
heavens 1
him 3
his 7
honor 1
hope 2
in 3
into 2
invaluable 1
is 3
it 1
jack 5
japan 1
japanese 1
killed 1
learning 1
left 1
lies 1
life 1
limit 1
managed 1
masamoto 1
master 1
matter 1
means 1
most 1
navigation 1
ninja 2
oceans 1
of 9
only 2
or 1
orphaned 1
out 1
over 1
prejudice 1
protecting 1
ritual 1
running 1
rutter 1
samurai 3
school 2
secret 1
skill 1
spirit 1
still 2
stranded 1
surviving 1
sword 2
technique 1
tests 1
that 1
the 14
them 1
this 1
three 1
time 1
to 4
trained 1
troubles 1
two 1
uncharted 1
vicious 1
way 1
who 1
will 1
winner 1
within 1
world 1
year 1
