22725549
/m/05zznpx
/m/05zznpx
Chuck Palahniuk
2010

a 4
actress 1
age 1
aging 1
already 1
an 1
and 3
be 2
bed 1
by 1
caretaker 1
carlton 1
celebrity 1
coogan 1
deadly 1
death 1
discovering 1
employee 1
even 1
extravaganza 1
foretelling 1
forthcoming 1
golden 1
has 1
hazel 1
hazie 3
heart 1
hellmanpenned 1
his 1
hollywood 1
homage 1
honorable 1
iii 1
in 1
intentions 1
into 1
is 2
katherine 1
kathie 1
kathies 2
kenton 1
less 1
lifelong 1
lillian 1
manages 1
may 2
memoir 1
miss 3
musical 1
named 1
narrated 1
novel 1
of 2
suitor 1
suspicious 1
tellall 1
than 1
that 2
the 2
to 2
upon 1
way 1
weasel 1
webster 1
westward 3
when 1
worries 1
written 1
