23216803
/m/065_b45
/m/065_b45
Timothy Zahn
2003-02
2003 2
a 35
aboard 1
about 3
advance 2
advocatus 2
after 2
against 1
agency 1
agree 1
airlock 2
alarm 1
alien 1
aliens 1
alone 1
along 1
also 4
ambush 1
ambushed 1
an 6
and 56
another 2
any 1
anyone 1
apart 2
are 8
arm 2
arrest 1
arrive 1
arrives 2
as 14
at 4
attack 1
away 2
back 3
balcony 1
bay 1
be 2
because 2
been 2
before 2
behind 3
being 2
belatedly 1
believe 1
better 1
board 4
bodyguards 1
bomb 1
bottom 1
bought 1
box 9
boxes 5
braxton 10
braxtons 1
breaks 2
brig 1
bright 1
burn 1
but 3
by 8
call 1
calls 2
calm 1
cameras 2
can 1
cant 6
captured 1
cargo 4
carry 1
carrying 1
carved 1
case 1
caught 2
check 1
checks 1
clear 1
cleared 1
climbing 1
closed 1
closes 1
closing 1
clues 1
come 1
comes 2
comm 1
company 2
computer 1
confuse 1
contact 1
continue 1
conversation 1
convinces 1
cornelius 2
could 1
couple 3
crash 1
crashed 1
crashing 1
crate 1
crates 1
crowd 1
cruise 1
cutting 1
cylinder 3
cylinders 1
data 5
date 1
days 1
death 1
decides 2
deep 1
demanding 1
deposit 2
designed 1
diaboli 2
dies 1
distracts 1
do 1
dodges 1
does 1
doesnt 3
done 1
dont 1
door 3
down 6
drabs 1
dragging 1
draycos 28
drops 1
drugged 1
drunk 1
dry 1
dump 1
during 1
electrical 1
elevator 1
else 1
emergency 1
employer 1
ends 1
enemies 1
enough 2
entertain 1
escape 4
essenay 1
evades 1
evaporated 1
everyone 2
except 1
explain 1
explains 2
eyes 1
far 3
february 1
fighter 1
figure 2
find 2
finds 3
first 2
five 1
flee 1
fleeing 1
floor 1
follows 1
for 17
forced 1
forty 1
found 1
frame 1
freezer 2
from 4
full 1
gathered 1
gave 1
get 5
gets 1
go 7
goes 4
going 1
got 1
gotten 1
grid 1
guard 1
guards 2
guns 1
had 1
handed 1
hardback 1
harper 1
has 2
have 5
havenseeker 1
having 1
he 37
heard 2
hed 1
help 3
hide 2
hides 1
hiding 2
him 18
hints 1
his 8
hot 1
hours 2
how 1
however 1
hyperspace 2
ice 1
identical 1
if 2
impact 1
in 16
inside 3
insists 1
interrogating 1
into 8
investigate 1
investigation 1
invite 1
iota 3
is 24
it 12
jack 43
job 2
journey 1
jumps 3
just 3
justice 1
kda 1
kill 1
killed 1
killing 2
kills 1
klestis 3
knife 1
knock 1
know 1
known 1
knows 1
later 2
leaning 1
leans 2
leave 4
leaves 1
left 1
let 2
lever 1
lieutenant 2
lighter 1
lights 3
liner 1
link 1
lives 1
local 1
locked 1
logo 1
long 1
looking 1
luxurious 1
magic 1
magicians 1
make 2
makes 1
making 1
man 2
manager 2
manages 1
maneuver 1
meet 1
memorizes 1
men 2
mentions 1
metal 1
minutes 2
mistakes 1
morning 2
most 1
murder 1
mysterious 2
name 4
nameless 1
nearby 1
needs 1
nervous 1
next 3
of 20
off 4
office 1
official 1
on 17
once 4
one 4
only 1
onto 3
open 1
opens 1
orders 1
other 1
out 9
outside 1
over 3
owner 4
panicking 1
panics 1
part 2
party 1
past 1
people 2
perform 1
person 2
picked 3
piles 2
plan 1
planet 1
points 2
police 2
power 1
pretends 2
prisoner 1
promises 1
pub 1
pulls 1
purser 1
pursue 1
put 2
puts 2
putting 1
raven 8
reach 1
reaches 1
read 1
real 1
realize 2
realizes 3
reconnaissance 1
refugee 1
refugees 1
remain 1
rented 1
renting 1
return 3
reveals 1
robbed 1
room 1
run 2
runs 1
safe 1
safety 1
same 1
say 1
saying 1
scratches 1
second 1
secretary 2
security 2
see 3
sees 2
sent 1
set 1
sets 1
several 1
ship 13
ships 3
shontine 1
short 1
shot 1
side 1
since 1
skin 2
smoke 1
so 9
softcover 1
soil 1
soldier 4
some 2
someone 2
something 1
somewhere 2
space 1
spaceport 1
speak 1
start 2
starts 2
states 1
stay 2
stayed 1
stole 1
stop 2
stopped 1
storage 1
story 1
stuns 2
suggest 1
suite 1
supposedly 1
sure 1
surprised 1
swings 1
switch 2
switched 1
switches 1
symbol 2
symbols 1
take 2
takes 1
talk 1
talking 1
talks 1
tea 1
team 2
tell 3
telling 1
tells 2
than 1
thank 1
that 6
the 111
their 6
them 12
then 3
there 6
they 31
theyve 1
thief 1
think 1
thinks 1
three 1
through 1
throw 1
thrown 1
to 64
too 2
top 1
tops 1
tor 1
transport 1
trap 1
tree 2
tricks 1
tries 1
tripwire 1
trust 1
try 1
trying 1
tube 3
tubes 4
two 6
unable 1
uncle 7
united 1
universis 1
until 1
up 8
use 1
vagran 2
valaghua 3
vault 7
vehicle 1
ventilation 1
version 1
virge 3
visit 1
voice 1
wall 1
wants 1
war 2
warrant 1
was 3
watches 1
watching 1
way 1
weapon 2
wedding 1
well 1
were 1
what 2
when 6
where 7
which 4
while 4
who 9
whom 1
whose 1
why 1
wife 1
will 2
wistawk 2
wistawki 4
with 13
without 1
witness 1
woken 1
wont 1
world 1
would 1
years 1
yells 1
