23510217
/m/06w2zgr
/m/06w2zgr
Danielle Steel
2008-02
{"/m/05hgj": "Novel"}
a 4
actress 1
along 1
amnesia 1
and 10
barber 1
be 1
begin 2
but 1
carole 4
caroles 1
causing 1
come 1
cool 1
disappearance 1
doesnt 1
emergency 1
evening 1
explosion 1
family 3
famous 1
far 1
fiery 1
fighting 1
find 3
for 3
friends 3
from 1
gradually 1
grasp 1
has 2
her 8
herself 2
home 1
honor 1
hope 1
hospital 1
in 2
inquiries 1
into 3
is 1
just 1
left 1
life 1
louvre 1
love 1
make 1
memory 1
new 2
novel 1
november 1
of 2
on 2
only 1
own 1
paris 2
past 1
pray 1
recovery 1
regains 1
remember 1
room 1
she 1
slowly 1
speeds 1
survival 1
swarm 1
tale 1
taxi 1
terrible 1
terrorist 1
that 1
the 4
this 1
to 10
truly 1
tunnel 1
unconscious 1
unidentified 1
way 1
weeks 1
work 1
world 1
