23969036
/m/076znmb
/m/076znmb
Danielle Steel
2009-10
a 3
after 1
again 2
alexa 4
an 1
and 5
as 2
assistant 1
back 1
battles 1
behind 2
betrayal 1
brings 1
but 1
case 1
certain 1
client 1
come 1
cruelness 1
da 1
daughter 3
decision 1
enjoying 1
family 2
father 1
find 1
from 1
hamilton 1
harm 1
heal 1
her 10
his 1
husband 1
in 2
into 1
is 3
it 1
latest 1
left 1
letters 1
life 2
lights 1
love 1
luke 1
making 1
manhattan 2
most 1
mother 2
of 1
old 1
painful 1
prosecutor 1
protect 1
quentin 1
roots 1
savannah 3
sends 1
settles 1
seventeenyearold 1
she 1
single 1
south 1
southern 3
teenage 1
that 1
the 4
threatening 1
to 5
top 1
under 1
when 1
wounds 1
