24423536
/m/07s4w25
/m/07s4w25
Brandon Mull
2010-03-23
a 15
added 1
advantages 1
after 2
age 2
all 5
allies 1
an 3
and 15
arrived 1
artifacts 2
as 3
astrids 2
at 2
attempt 1
back 1
battlefield 1
be 1
beat 1
been 1
betrayal 1
better 1
bracken 5
brother 1
burgess 1
call 1
can 1
captive 1
cell 1
certain 1
comes 2
continue 1
convince 1
coping 1
creatures 1
dawn 1
dawning 1
death 1
demon 4
desperate 1
destroyed 1
devotion 1
dome 1
dream 1
during 1
escaping 1
even 1
extremely 1
fablehaven 1
fairy 2
final 3
finally 1
find 2
finds 3
five 1
force 1
form 1
friend 3
from 3
furious 1
gain 1
gained 1
gains 1
gaseous 1
ghost 1
grant 1
grove 1
had 2
harpies 1
has 1
have 1
help 1
her 4
his 3
hold 1
horde 2
hour 1
however 1
ideas 1
in 2
include 1
inside 1
into 1
is 1
isle 1
items 1
journey 1
joy 1
just 1
kendra 7
keys 2
knights 1
lady 3
last 2
lethal 1
life 1
light 1
live 1
locks 3
loyalty 1
luck 3
may 2
meanwhile 1
meet 1
more 1
must 2
near 1
needed 1
new 2
of 10
old 2
on 3
once 1
one 2
oppose 1
other 1
out 1
outside 1
over 1
parent 1
patton 1
peace 1
place 1
placed 1
plan 2
possible 1
powerful 1
preserve 3
prevent 1
previously 1
prison 2
problem 1
queen 2
race 1
reclaim 2
remnant 1
result 1
retreating 1
roc 1
safeguard 1
same 1
save 1
secret 1
security 1
see 2
seth 7
she 1
ship 1
shoreless 1
short 1
shrine 1
shrines 1
shut 1
so 1
society 2
some 4
speak 1
sphinx 1
steps 2
stolen 1
success 2
suggests 1
summon 1
take 4
taken 1
tells 1
tempting 1
than 1
that 5
the 36
their 2
them 3
there 1
they 5
this 1
three 2
to 18
traits 1
transport 1
trapped 1
trees 1
troubles 1
true 1
truly 1
two 1
undone 1
unimaginable 1
unique 1
unite 1
unknown 1
up 1
upon 1
use 1
uses 1
very 1
visit 1
wait 1
wall 1
warren 1
was 2
weapon 1
were 1
when 2
where 1
whether 2
who 1
will 1
with 2
without 1
wonders 1
work 1
world 3
worry 1
would 3
yet 1
zzyzx 3
