25305042
/m/09gp673
/m/09gp673
Edith Pargeter
1983
1140 1
a 48
abandon 1
abbey 16
abbot 3
abbott 1
about 1
absolved 1
accepted 1
account 1
act 1
additional 1
adds 1
adjoining 1
admission 1
admit 1
admits 2
adornments 1
advantage 1
afraid 1
after 6
afternoon 3
again 3
agitated 1
agreed 1
agrees 2
all 1
alliances 1
allies 1
allowed 1
alone 1
already 1
also 2
amends 2
an 8
and 56
another 1
antique 1
any 1
appalls 1
apple 1
appointed 1
approach 1
approaching 1
ardour 1
are 6
armed 1
army 1
arranges 1
arrives 1
arrow 1
as 14
ashamed 1
asking 1
asks 4
aspley 9
assigned 2
assistant 1
assumed 1
at 11
attention 1
avail 1
awareness 1
away 2
back 4
badly 1
barbary 2
barely 1
barons 1
be 12
beautiful 1
because 1
become 2
becomes 2
bed 2
been 3
before 5
begins 1
begs 1
being 4
believe 4
belonged 1
belongings 1
benedictine 1
benedictines 1
beringar 9
best 2
beyond 1
bishop 3
blame 1
blamed 1
blois 2
body 4
both 7
bothered 1
boy 2
breathing 1
bride 2
bring 3
broke 1
brooch 5
brother 20
brothers 1
brought 1
brutal 1
burned 1
burns 1
bury 1
but 11
by 9
cadfael 21
call 1
called 1
calling 1
calls 1
came 1
can 3
cannot 1
canon 2
carefully 1
carry 1
case 1
castles 1
catches 1
caught 1
cell 1
chagrined 1
chances 1
charcoal 1
charge 2
charm 1
charred 1
chester 2
childhood 1
children 1
choice 3
christmas 2
civil 1
claims 2
clearing 1
clearly 1
clemence 19
cleric 1
clerk 2
cloak 3
clothing 2
coldblooded 1
colour 1
come 1
comes 2
commands 1
condemned 1
confess 1
confessed 1
confesses 3
confession 1
confessor 1
confinement 1
confront 1
confronts 1
contrariness 1
convened 1
conversation 1
conversations 1
corpse 2
could 1
council 1
counsels 1
counties 1
couple 1
course 1
crucial 1
dagger 2
day 2
days 3
december 1
declared 1
declaring 1
deeply 1
delay 1
demands 1
deputy 1
description 1
details 1
determined 1
devil 1
did 2
diplomatic 1
disappeared 1
discover 1
discovered 2
discreetly 1
discuss 1
discussing 1
disdains 1
disruptive 1
distant 1
disturbed 1
do 2
does 1
dogs 1
done 2
dortoir 1
down 2
draft 1
dress 1
dressed 1
drove 1
duties 1
earl 2
earlier 1
earls 2
early 2
easygoing 1
efforts 1
either 2
elder 1
else 2
eluard 3
emissary 1
encounters 1
endeavouring 1
ended 1
england 1
entire 1
entourage 1
erred 1
even 1
evening 1
ever 1
executed 1
expects 1
explaining 1
extended 1
eye 1
factions 1
fall 3
false 1
falsehood 1
families 1
family 2
fancy 1
farrier 2
farther 1
father 7
fatherly 1
favorite 1
favours 1
few 1
fiancee 1
finally 1
find 1
finding 1
finds 1
fine 1
finery 1
firewood 1
first 5
five 1
fled 2
flirtatious 1
for 21
forbidden 1
forest 6
forgiveness 1
foriet 3
former 2
forth 1
found 4
four 1
friend 4
friendship 1
from 12
front 1
full 1
gateway 1
gave 3
gift 1
giles 3
girl 2
give 1
go 1
god 2
gone 2
got 1
greetings 1
gretton 1
grew 1
grounds 1
grow 1
grown 1
guest 3
guesthouse 1
guilt 3
guilty 2
had 7
hair 2
halfstarved 1
handsome 2
harald 5
hard 1
has 10
have 6
having 3
