25353123
/m/09gq3tw
/m/09gq3tw
Emilio Salgari

1868 1
a 1
against 1
all 1
also 1
and 2
are 1
armed 1
battle 1
brookes 1
but 1
despite 1
dyaks 1
eleven 1
end 1
face 1
figure 1
for 1
has 2
his 1
home 1
into 1
is 1
island 1
james 1
learns 1
leave 1
led 1
malaysia 1
mompracem 1
mysterious 1
nephew 1
new 1
of 3
or 1
ordered 1
out 1
peace 1
pirates 1
races 1
rajah 1
rescue 1
sandokan 1
sarawak 1
soon 1
that 1
the 6
their 1
them 1
this 1
threat 1
tigers 2
to 2
tremalnaik 1
under 1
war 1
yanez 1
years 1
