25438916
/m/09k7bzq
/m/09k7bzq
Antonio Tabucchi
1994
138 1
a 6
about 4
advanced 1
ailing 1
all 1
an 3
and 8
any 1
apolitical 1
are 1
article 1
articles 1
ask 1
at 1
attract 1
beat 1
becomes 1
been 1
before 1
beginning 1
begins 1
but 1
by 1
call 1
calls 1
children 1
clinic 1
close 1
completely 1
concerned 1
condemning 1
contact 1
continues 1
could 2
death 2
definite 1
dictatorship 1
die 1
died 1
discusses 1
distracted 1
doctor 2
doubts 1
down 1
during 1
end 1
essay 1
ever 1
fact 1
fascist 1
for 3
friend 1
friends 1
from 2
get 1
great 1
have 3
having 1
he 7
heart 1
help 2
him 4
his 7
in 4
into 1
is 4
isolated 1
it 1
journalist 1
know 1
leftist 2
life 2
lisboa 1
literature 1
loves 1
man 2
manages 1
moment 1
monteiro 3
much 1
murder 1
name 1
newspaper 2
not 1
novel 1
obituaries 1
of 4
old 1
own 1
pays 1
pereira 5
perhaps 1
phone 1
police 1
politics 1
portoguese 1
portugal 1
pratically 1
puts 1
reads 1
receives 1
regime 1
rossi 3
salazar 1
set 1
slant 1
slip 1
something 1
spends 1
summer 1
that 1
the 13
to 11
turned 1
unpublishable 1
upside 1
visit 2
when 1
who 2
whom 1
whose 1
wife 1
with 4
works 1
world 1
write 1
writers 1
written 1
young 2
youth 1
