25577776
/m/09rxdkw
/m/09rxdkw
Sue Grafton
2009-12-01
{"/m/02n4kr": "Mystery"}
15000 1
160s 1
163 1
167 2
188 1
25000 1
40000 2
a 25
aa 1
about 1
adopt 1
adopted 1
affair 2
afford 1
after 12
against 1
airtight 1
alibi 1
allergic 1
almost 1
also 1
although 1
an 5
and 26
another 1
any 2
apartment 1
april 1
are 2
area 1
around 1
arrested 1
as 2
at 2
attended 1
attending 1
attends 1
aunt 1
baby 1
back 2
backstory 1
banker 1
be 1
became 1
because 2
been 3
before 1
behind 2
being 1
believes 2
best 1
bills 1
birth 1
birthday 1
board 1
body 3
borrow 1
both 2
bothered 1
burial 3
buried 1
burying 2
but 7
by 4
bystanders 1
called 1
calling 1
calls 2
claimed 1
claims 2
claire 5
classmate 1
close 1
college 2
come 1
corso 1
could 1
country 1
couple 1
creed 1
custody 1
date 1
daughter 2
days 2
dead 1
deaths 2
deborah 2
decided 1
delay 1
despite 1
destiny 1
died 1
dig 2
diggers 1
digging 1
discrediting 1
disrupting 1
dodger 1
dog 3
dogtag 1
draft 2
drinking 1
dropping 1
due 1
dui 2
during 3
earlier 1
else 1
end 2
ended 1
entire 1
euthanized 1
even 1
event 4
evidence 2
exclusive 1
fact 1
fall 1
false 1
family 6
famous 1
far 1
fashion 1
final 1
finds 1
first 1
five 1
flashbacks 1
fled 1
flee 1
foiled 1
follows 2
for 6
formally 1
formerly 1
found 1
fouryearold 2
friend 1
friends 1
friendship 1
from 4
gain 1
gave 1
gin 2
girlfriend 1
given 1
going 1
gone 1
granddaughteradopted 1
grandmother 4
greatly 1
greg 8
gun 1
had 10
happy 1
harmless 1
has 3
have 1
hazy 1
he 7
heads 1
her 21
high 3
him 7
himself 1
hired 2
his 6
home 1
horton 3
house 1
how 2
however 1
hurredly 1
idea 1
if 1
ignoring 1
immediately 2
implement 1
in 24
increasingly 1
initially 1
intense 1
into 1
investigate 1
investigator 2
invited 1
involved 1
irony 1
is 10
it 2
jon 13
just 1
keep 1
kidnap 1
kidnapped 3
kidnappers 1
kidnapping 5
killing 1
kills 2
kinsey 16
lack 1
late 1
later 1
learns 5
leaving 3
left 3
letters 1
little 1
loan 1
locate 1
location 1
long 1
longer 1
look 1
lot 1
make 2
making 1
man 1
manage 1
marked 3
mary 5
mcnally 1
meeting 2
memory 3
michael 8
millhone 1
mistakes 1
money 4
mother 1
moved 1
murder 1
named 4
needing 1
neighborhood 2
neighbors 1
never 3
night 1
no 2
not 1
now 1
of 18
off 2
old 1
on 6
one 4
only 1
out 2
outings 1
own 2
owned 1
owner 1
paid 1
panicked 1
parallel 1
parents 2
past 1
people 1
person 1
picked 1
place 1
plan 3
police 2
pregnant 1
preparation 1
present 1
prior 1
private 2
property 1
proved 1
pulls 1
q 1
quarry 1
rain 8
raised 1
ransom 6
ravine 3
reaction 1
realizing 1
recovered 3
refused 2
remains 1
remembering 1
requested 1
resists 1
return 1
returned 3
returning 1
role 1
ruling 1
says 1
school 3
secluded 1
second 1
sedated 1
see 1
seen 1
sees 2
selective 1
senile 1
service 1
set 2
sexual 1
she 10
shelly 8
shoots 2
side 1
similar 1
since 4
six 1
small 1
so 1
son 1
spends 1
spot 1
started 2
still 1
story 3
substituted 1
successful 1
such 1
suitcases 1
sunday 1
suspects 2
sutton 3
talk 1
talks 2
tell 1
tells 1
that 18
the 56
their 5
them 2
themselves 1
then 1
thereafter 1
they 6
this 1
time 2
tipped 2
title 1
to 30
told 4
took 1
total 1
traces 1
trust 1
turn 1
turned 2
two 6
ulf 1
uncovers 1
undertow 1
unexpectedly 1
unharmed 1
unruh 1
unruhs 3
unsolved 1
up 3
upon 1
used 1
using 1
valium 1
viewpoint 1
visit 2
walker 13
wanted 1
was 9
watching 1
week 1
weekend 1
were 2
when 2
where 2
which 5
while 1
who 6
with 6
wolfdog 1
woman 1
woods 1
would 1
writer 1
years 3
young 2
