25913197
/m/0b6nt5f
/m/0b6nt5f

1998
{"/m/0dwly": "Children's literature"}
able 1
across 1
against 1
an 1
and 2
angelica 1
angelicaas 1
are 2
as 3
attic 1
babies 1
boris 2
casting 1
character 1
chuckie 1
does 1
egypt 2
explains 1
featured 1
features 1
flee 1
free 1
go 1
grandfather 1
he 2
hebrews 1
his 1
imagine 1
in 1
is 2
let 1
lil 1
moses 2
my 1
of 2
pass 1
passover 1
pharaoh 1
phil 1
plagues 1
portrayed 1
rebels 1
red 1
rugrats 1
rugratstommy 1
sea 1
sister 1
so 1
story 2
that 1
the 9
them 1
they 3
through 1
time 1
to 3
tommy 2
trapped 1
twin 1
upon 1
various 1
with 1
within 1
