692200
/m/0336z1
/m/0336z1
William Novak
1985-01
1 1
13 1
15 1
178 1
183 1
2 1
3 1
51st 1
54th 1
8 1
a 10
after 4
again 1
also 1
america 1
americans 1
and 10
arguing 1
army 1
as 1
at 6
attended 1
back 1
bankruptcy 1
be 2
because 1
becoming 1
began 3
billion 1
birthday 1
book 3
but 1
by 1
ceo 1
challenge 1
child 1
chrysler 3
climb 1
college 1
company 4
compelling 1
completed 1
consists 1
cost 1
couldnt 1
degree 1
developed 2
difficult 1
drafted 1
due 1
efficiency 1
established 1
experiences 1
explaining 1
family 1
fatherson 1
fearing 1
fellowship 2
fever 1
final 1
finished 1
fire 1
flourish 1
for 3
ford 6
from 3
fuel 1
full 1
given 1
government 1
graduate 1
great 1
group 1
guarantee 1
had 3
happened 1
he 12
heard 1
henry 2
high 1
him 1
his 9
httpthomaslocgovcgibinbdqueryzd06hr05860dsumm2m 1
iacocca 7
ii 3
immigrant 1
in 7
including 2
increased 1
into 1
italian 1
its 1
japanese 1
job 3
join 1
july 1
labor 1
lasting 1
layoffs 1
leaving 1
legislation 1
lehigh 1
loan 2
making 1
management 1
many 2
mcnamara 1
mustang 1
next 1
no 1
october 1
of 17
offered 2
on 3
one 1
out 1
paid 1
part 3
plot 1
portion 1
power 1
president 1
princeton 3
profitable 1
promise 1
received 1
recruiter 1
relationship 2
reorganization 1
resign 1
restructuring 1
rhetoric 1
rheumatic 1
robert 1
same 1
saving 1
school 2
seatbelts 1
semesters 1
speaks 1
spot 1
stipulations 1
story 2
straight 3
studies 1
talk 1
task 1
tells 2
that 1
the 25
time 2
titled 1
to 7
took 1
total 1
training 1
triumph 1
under 1
unfortunately 1
university 2
us12 1
vehicles 1
war 2
was 7
wear 1
what 1
where 1
with 4
world 1
would 1
year 1
