26934171
/m/0bmd1rz
/m/0bmd1rz
Roddy Doyle

170s 1
174 1
a 4
ages 1
aging 1
an 1
and 2
as 1
attempting 1
based 1
be 1
bombings 1
but 2
callousness 1
car 1
caught 1
cement 1
distorted 1
drifts 1
dublin 2
eventually 1
faded 1
film 1
ford 3
has 2
he 3
henry 6
his 4
in 2
into 1
ira 1
is 2
john 1
kill 1
life 1
longdisappeared 1
may 1
meets 1
movie 1
obscurity 1
of 1
on 1
planned 1
plans 2
ploy 1
possibly 1
provisional 1
public 1
realizes 1
reduce 1
relations 1
reputation 1
respectable 1
sentiment 1
smart 1
story 2
suburbs 1
that 1
the 5
to 3
until 1
up 1
uses 1
version 1
when 1
where 1
who 1
widow 1
wife 1
will 1
