712030
/m/034y22
/m/034y22
Joe Haldeman
1999
{"/m/06n90": "Science Fiction", "/m/05hgj": "Novel"}
10 1
24 1
40000 3
a 10
abandon 1
aboard 1
action 1
actions 1
again 2
agree 1
alien 1
all 1
along 1
also 3
although 1
amusement 1
an 3
and 12
android 1
antimatter 1
appear 1
appears 1
archetypal 1
are 1
arrival 1
as 4
at 3
away 2
be 3
been 4
before 1
beginning 1
being 2
believe 1
book 1
but 3
by 4
cage 1
camouflage 1
certain 1
chameleon 1
childish 1
children 1
comic 2
connected 1
consent 1
contained 1
controlled 1
converted 1
course 1
cowboy 1
created 1
damaged 1
daughter 1
deal 1
decide 1
decided 1
deity 1
denizens 1
deus 1
did 1
dilation 1
disappeared 1
discover 1
disenchanted 1
dissatisfied 1
do 1
doesnt 1
drifting 1
during 1
earth 5
edition 1
errors 1
escape 1
escaping 1
eventually 2
everyone 1
evidently 1
ex 1
experiment 3
explains 1
far 1
fight 1
fighters 1
find 2
finger 4
first 1
fleeing 1
focuses 1
for 2
force 1
forcing 1
forever 5
forward 1
free 2
from 1
future 1
galaxy 2
god 3
gods 1
gotten 1
group 2
happen 1
happened 1
has 3
have 5
having 1
head 1
his 3
home 1
hope 1
however 1
humans 2
icy 1
idea 1
in 6
incident 1
indicating 1
inhabitants 1
inhabited 1
instead 1
intact 1
intended 1
intention 1
interstellar 1
into 2
investigation 1
involves 1
is 4
it 4
its 3
join 1
jump 1
known 1
laboratory 1
large 1
larger 1
later 1
leaving 2
liking 1
literally 1
lives 1
lose 1
machina 1
man 3
mandella 3
many 2
marygay 2
mentioned 1
middle 4
millennia 1
mind 2
more 1
mouse 1
much 2
mysteriously 1
neither 1
new 1
no 1
nor 1
not 4
novel 1
now 1
occurrences 1
of 13
on 10
one 1
only 1
origin 1
other 3
own 1
parents 2
park 1
pass 1
people 1
permission 1
planet 2
planets 1
pods 1
posing 1
posthuman 1
preceding 1
printing 1
protagonist 1
put 1
race 1
really 1
recognizes 1
refuse 1
relationship 1
relativistic 1
remain 1
requires 1
resident 1
resolution 1
restores 1
return 3
roundtrip 1
same 1
scientist 1
seemingly 1
sequel 1
shapeshifting 1
share 1
ship 5
shorter 1
similar 2
society 1
some 2
son 1
speeds 1
starts 1
stasis 1
state 1
still 3
stored 1
story 1
subjective 1
take 1
taking 1
tauran 2
test 1
text 1
than 1
that 5
the 36
their 10
then 1
these 1
they 11
this 3
those 1
time 3
to 16
travel 2
understand 1
unexplained 1
universe 1
up 1
upon 2
using 1
vacant 1
version 1
very 1
veterans 1
views 2
war 3
was 1
westernthemed 1
what 1
whatever 1
which 1
while 1
whim 1
who 5
wife 1
will 3
william 2
with 6
world 1
would 1
year 1
years 4
