31240119
/m/0gjbxhr
/m/0gjbxhr
Joanna Russ

a 2
against 1
agitation 1
alone 1
an 1
and 7
are 2
as 1
attempting 1
audio 1
becomes 1
begins 1
being 1
believe 1
but 1
by 2
chart 1
colonizing 1
days 1
debate 1
dedicated 1
defend 1
diary 1
does 1
escalate 1
even 1
experiences 1
female 1
finally 2
first 1
forced 1
form 1
from 3
group 2
hallucinate 1
her 2
herself 2
history 1
how 1
hunger 2
in 3
increasingly 1
into 1
is 2
kept 1
kill 2
killed 1
left 1
loneliness 1
long 1
made 1
men 1
no 1
not 1
of 4
on 1
order 1
other 1
past 1
people 3
personal 1
philosophical 1
planet 2
political 1
populating 1
possible 1
pregnant 1
protagonist 2
rape 1
recounting 1
resists 1
resolves 1
scant 1
seasons 1
she 6
skills 1
story 1
stranded 1
supplies 1
survival 1
survive 1
survivors 1
takes 1
technical 1
tensions 1
term 1
that 1
the 10
them 1
then 1
to 7
unnamed 2
until 1
violence 1
visions 1
weak 1
who 1
with 1
