31648776
/m/0gmbjl4
/m/0gmbjl4
Eric Flint
2011-03-29
a 3
act 1
administrator 1
adolphus 3
advantage 1
after 1
against 1
agrees 1
aligning 1
alliance 1
an 3
and 15
are 2
army 2
arrested 1
as 5
at 1
available 1
axel 2
banr 4
battalion 1
battle 3
bavaria 2
bavarians 1
be 1
berlin 1
bid 1
bohemia 2
break 1
broken 1
bully 1
but 2
butchery 1
call 1
cannot 1
capital 2
chancellor 3
chooses 1
christina 1
coc 1
commissions 1
committees 1
conflict 1
confronts 1
conservative 1
control 1
cooperating 1
coopt 1
coordinate 1
correspondence 1
country 1
coup 1
covert 1
crown 3
custody 1
defense 1
discovering 1
discredited 1
division 1
dresden 2
during 1
early 1
elections 1
emperor 2
end 1
ensure 1
enter 1
ernst 1
europe 1
fighting 1
for 1
force 1
forces 5
fourth 1
from 3
further 1
gathered 1
general 2
gretchen 1
guard 1
gustav 3
has 2
he 3
head 1
hessekassel 1
him 2
his 5
hold 1
imperial 1
in 11
informal 1
into 3
invaded 1
invades 1
invading 1
invitation 1
is 4
its 1
johan 1
july 1
keep 1
keeps 1
killed 1
landgravine 1
lays 1
lead 1
leader 2
leaders 1
leaving 1
legitimacy 1
loyalist 1
loyalists 2
magdeburg 1
manner 1
many 1
meanwhile 2
meet 1
meets 2
mike 2
minister 2
more 1
national 1
negotiate 1
neutral 1
new 1
nobility 1
occupied 1
of 14
office 1
official 1
on 2
one 1
only 3
opponents 2
opportunity 2
oppose 1
opposition 1
order 1
orderly 1
other 1
oxenstierna 6
palatinate 1
party 2
people 1
poland 1
possible 1
power 4
prepared 1
prime 2
prince 1
princess 1
professional 1
protect 1
provincial 2
puts 1
real 1
rebecca 1
rebel 1
reestablish 1
regains 1
reinforcing 1
reinstated 1
released 1
remain 1
removed 1
rendering 1
restrained 1
richter 1
routed 1
rule 1
ruler 1
ruling 1
saxon 1
saxony 2
seizes 1
she 1
siege 3
snow 1
soldiers 2
soon 1
states 1
stearns 4
storm 1
strongest 1
such 1
suffered 1
swedish 5
symbolically 1
take 1
takes 1
that 2
the 35
them 1
themselves 1
there 1
they 1
third 1
this 3
thuringiafranconia 1
to 19
transition 1
trauma 1
travel 1
troops 1
try 1
ulric 1
unable 1
under 1
undermine 1
undermining 1
united 1
upper 1
use 4
uses 1
vogtland 1
wary 1
wettin 4
when 1
which 3
wilhelm 2
with 6
wits 1
