32249586
/m/0gy1h55
/m/0gy1h55
Becca Fitzpatrick

a 8
absolute 1
after 1
again 1
all 3
almost 1
an 1
and 12
angel 1
another 1
answersand 1
armed 1
back 2
be 2
been 1
being 1
best 1
betrayal 1
between 2
boundary 1
boyfriend 1
bridged 1
but 2
can 2
cant 1
cemetery 1
connection 1
could 1
creatures 1
creepy 1
crosses 1
dark 1
desperate 1
do 1
dodge 1
earth 1
enter 1
every 1
everything 1
faced 1
faith 1
falling 1
feeling 1
feels 1
fight 1
finally 1
five 1
for 3
forever 1
friend 1
get 1
go 1
gone 1
grows 1
hang 1
has 1
have 1
he 1
head 1
heard 1
heart 2
heaven 1
her 7
him 1
hold 1
holds 1
idea 1
in 5
initial 1
intense 1
irreconcilable 1
is 4
knowing 1
knows 1
left 1
life 3
love 3
loyalty 1
mesmerising 1
minute 1
missing 2
moms 1
months 1
more 2
new 1
no 1
noise 1
nora 4
nothing 2
of 6
on 1
one 2
or 1
out 2
overcome 1
part 1
past 2
patch 2
patchs 1
paths 1
power 1
reach 1
realises 1
remember 1
riddled 1
school 1
secrets 1
seems 1
sexy 1
shatter 1
she 9
shock 1
silence 1
spends 1
stop 1
stranger 1
tests 1
that 6
the 11
their 2
then 1
there 1
theyve 2
to 7
told 1
touch 1
track 1
transcend 1
tries 1
trust 1
truth 1
twelve 1
two 1
unearthly 1
unshakeable 1
until 1
up 1
vee 1
villain 1
visions 1
voice 1
waking 1
was 2
weekswith 1
when 1
where 1
who 2
whom 1
will 1
wings 1
with 5
withshe 1
worked 1
worlds 1
wrenching 1
