33345103
/m/0h7nk3r
/m/0h7nk3r
Anne McCaffrey
2011-06
508 3
a 5
about 1
action 1
after 3
al 2
all 1
and 11
as 1
at 1
attendant 1
back 2
backward 1
book 1
books 2
both 1
break 1
but 3
by 1
can 1
cant 1
cheat 1
cheater 1
childbearing 1
compose 1
continent 2
convalesce 1
crisis 1
days 1
differences 1
distant 2
dragon 3
dragongirl 1
dragonheart 3
dragonpower 1
dragons 1
dragonsblood 1
during 2
early 1
effort 1
end 1
ending 1
episode 1
expedition 1
expert 2
few 1
fiona 3
first 2
fort 1
forward 1
frame 1
from 1
gain 1
her 1
humans 1
in 9
is 10
it 4
its 1
journey 2
know 1
landing 1
lead 1
leading 1
leads 1
led 2
long 1
lorana 3
makes 1
man 1
many 1
matches 1
mature 1
may 1
mccaffrey 1
months 2
much 1
near 1
northern 1
now 3
of 16
often 1
on 3
opportunity 1
or 2
other 1
others 1
part 1
pass 2
past 1
pern 2
place 1
present 1
primary 1
protagonist 1
purpose 2
queen 1
rather 1
readers 1
red 1
refuge 1
reproduce 1
risked 1
secondary 1
series 1
set 1
settled 1
shares 1
she 4
shortduration 1
side 1
six 2
smaller 2
solo 1
some 1
space 1
star 1
start 2
story 2
summer 1
survive 1
takes 1
talenth 1
telgar 1
temporary 1
ten 1
than 2
the 28
them 1
theme 1
there 1
third 2
this 3
threadfall 1
three 1
thus 1
time 6
to 4
todd 2
travel 1
traveler 1
trips 1
two 1
unknown 1
was 1
weeks 1
western 1
weyr 2
weyrwoman 1
who 2
with 1
women 1
year 2
years 1
you 2
