823814
/m/03f3vq
/m/03f3vq
Isaac Asimov
1983
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 5
above 1
admiral 2
after 2
against 1
and 4
are 2
before 1
book 3
brother 1
but 1
buys 1
by 1
captured 1
creating 1
device 1
discover 1
done 1
ends 1
enlisting 1
evil 1
existence 1
fargo 1
for 1
forcing 1
go 2
has 1
he 1
head 1
henchmen 2
him 2
his 1
humiliating 1
hyperdrive 1
hyperspace 1
in 4
ing 4
is 1
island 1
it 2
jamya 1
jeff 5
literally 1
manages 1
manhattan 1
miniantigravity 1
mixedup 1
need 1
never 1
norby 5
of 1
only 2
other 1
over 1
park 2
planet 1
police 1
quest 1
revolt 1
robot 2
saying 1
second 1
secret 1
series 1
ship 1
start 1
starts 1
stop 2
subplot 1
surrender 1
take 2
teaching 1
that 1
the 11
their 1
they 2
three 1
to 6
using 1
via 1
villain 1
wells 1
where 1
who 1
with 2
yobo 2
