862594
/m/03jcnf
/m/03jcnf
Beatrix Potter
1902
{"/m/016475": "Picture book", "/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 6
abandoned 1
after 1
against 1
along 1
and 3
anthropomorphic 1
articles 1
as 1
baked 1
bedridden 1
beneath 1
berries 1
by 4
caught 1
cautioning 1
chamomile 1
clothes 1
clothing 1
daughters 1
deceased 1
defies 1
difficulties 1
dinner 1
dress 1
earlier 1
entering 2
family 1
fence 1
finds 2
focuses 1
from 1
garden 4
grown 1
had 1
hed 1
her 4
his 5
home 1
husband 1
in 2
into 2
invade 1
is 2
later 1
losing 1
man 1
managed 1
mcgregor 3
milk 1
mother 3
mr 3
named 1
obediently 1
of 3
on 2
opening 1
opposed 1
past 1
peter 4
pie 1
rabbit 1
rabbits 1
rebellious 1
receive 1
refrain 1
returning 1
scarecrow 1
sickened 1
sisters 1
slide 1
snack 1
some 1
son 1
story 1
sumptuous 1
supper 1
tea 1
that 1
the 8
there 1
three 1
through 1
to 5
trespassing 1
used 1
vegetable 1
vegetables 1
way 1
wellbehaved 1
were 1
whereas 2
which 1
while 1
who 1
widowed 1
wriggling 1
young 1
