895506
/m/03mnzx
/m/03mnzx
Michael Crichton
1987-05-12
350 1
a 13
about 4
access 1
accuses 1
acquired 1
actually 1
adams 1
afterward 1
afterwards 1
alien 1
alive 1
along 1
already 1
although 1
american 1
an 4
and 22
apparently 2
appearance 2
are 2
arent 1
around 1
artifact 1
as 4
ascend 1
asking 1
astrophysicist 1
at 3
attacks 1
attempting 1
attempts 1
attention 1
be 1
because 1
becomes 2
been 1
before 2
begins 1
beth 11
biologist 1
bizarre 1
both 1
bottom 1
brings 1
builders 1
but 3
by 5
calls 1
certain 1
chamber 1
childhood 1
childlike 1
claims 1
clearly 1
climate 1
close 1
code 2
colleagues 1
communicate 1
compliments 1
concluding 1
constructed 1
contact 2
contacted 1
contacts 1
contents 1
continue 1
control 1
could 2
crashed 1
crashing 1
created 1
creation 1
creatures 2
crew 1
deadly 1
decide 1
decompression 1
deep 2
despite 1
destroy 1
didnt 1
die 2
discover 1
discovered 1
discovers 2
dispatched 1
dont 1
dwindling 1
enemy 1
entered 1
entering 2
enters 1
escape 1
escapes 1
events 1
eventually 2
exist 1
exploration 1
explore 1
explosives 2
extraterrestrial 1
failure 1
fears 1
fielding 1
fights 1
figuring 1
first 1
floor 1
focus 1
focuses 1
for 2
from 3
further 1
future 2
gaining 1
goes 1
group 1
habitat 3
had 1
halpern 1
happened 2
hardship 1
harry 12
has 3
having 1
he 9
headache 1
her 2
herself 1
himself 3
his 2
how 2
however 1
important 1
in 6
incident 1
including 2
increasingly 1
inside 2
intelligent 1
into 1
irrationally 1
is 6
it 7
its 2
itself 1
jerry 6
johnson 1
keep 1
last 1
leagues 1
learn 2
leave 1
life 1
lifeform 1
likely 1
little 1
looks 1
lost 1
lovely 1
manifest 1
manifestations 1
manifesting 1
mathematician 1
members 2
memories 2
mixture 1
mourn 1
must 1
mysterious 1
nature 1
navy 2
never 1
norman 12
not 2
noted 1
now 2
numeric 1
occur 1
ocean 2
of 13
on 4
only 2
open 2
opened 1
opening 1
or 2
origin 2
original 1
others 1
out 1
over 1
pacific 1
personnel 1
placate 1
placating 1
plants 1
point 1
ponder 1
potent 1
power 5
powerful 2
psychologist 1
psychology 1
questions 1
quickly 1
quite 1
reality 1
realizes 2
realizing 1
recall 1
reestablished 1
remembers 1
remove 1
replacing 1
returning 1
role 1
same 1
saying 1
scenario 1
scientists 3
sea 4
security 1
sedated 1
sedatives 1
seem 1
seeminglyfriendly 1
sent 1
she 1
ship 2
simultaneously 1
site 1
smiles 1
soon 1
spacecraft 5
sphere 6
spherical 1
squids 1
start 1
storm 1
struggle 2
subconscious 1
submarine 2
succeeds 1
suddenly 1
suffocate 1
support 1
surface 3
surprise 1
survive 1
surviving 1
survivors 2
systems 1
team 4
technical 1
ted 1
tell 1
tells 1
temperamental 1
terrible 1
that 7
the 47
their 5
them 3
themselves 1
then 2
they 5
this 3
though 2
thought 1
thoughts 1
thousand 1
threat 1
three 1
through 1
time 1
to 26
tranquilize 1
translates 1
translating 1
traps 1
twenty 1
unable 1
unconsciously 1
under 1
unthinkably 1
until 1
upon 1
us 1
use 2
various 1
via 1
video 1
wait 1
watches 1
week 1
what 3
when 1
which 3
while 2
with 7
within 1
without 1
years 1
yielding 1
