973112
/m/03vp98
/m/03vp98
Louis Cha
1963-09-03
a 23
abbot 1
accept 1
accompanied 1
accused 1
acquaintances 1
acquires 1
actually 1
adventures 2
affair 1
affairs 1
after 8
again 2
ahead 1
all 3
also 1
an 1
ancestral 1
and 32
are 2
around 1
artists 1
arts 6
as 5
assumes 1
at 1
attempts 1
away 1
azhu 4
azi 2
back 1
battle 1
be 5
beautiful 1
becomes 6
before 1
beggars 1
being 1
believes 1
believing 1
between 1
bloodshed 1
bloody 1
blunder 1
break 1
breaks 1
buddhist 2
but 3
by 9
care 1
carefree 1
causing 1
chance 1
chanced 1
characters 1
charismatic 1
chief 1
chinese 2
choice 1
claims 1
code 1
coincidence 1
coincidentally 1
commits 1
community 1
complex 1
conceal 1
concludes 1
conduct 1
consort 1
consuming 1
couple 1
cousin 1
creatures 1
crush 2
dali 1
dangers 1
death 1
decides 1
defend 1
described 1
desires 1
despite 1
detach 1
disdain 1
disguise 2
dissuade 1
does 1
duan 6
due 3
during 1
duties 1
elders 1
encounters 2
ends 1
enemy 1
engages 1
erniang 1
even 1
ever 1
evils 1
exceptional 1
extremely 1
faced 1
fairylike 1
falls 2
family 1
fate 1
fated 1
father 4
feelings 1
fellow 1
feng 9
finally 2
first 1
following 1
follows 1
for 4
force 1
forced 1
forging 1
formation 1
former 1
four 1
free 1
friends 1
friendship 1
from 7
fu 1
grace 1
had 1
half 1
han 2
happily 2
happy 1
has 6
have 1
he 33
heart 1
hearted 1
heavy 1
her 6
him 7
himself 2
his 16
home 1
hongji 3
hostage 1
however 2
identity 1
illegitimate 1
illicit 1
immune 1
in 13
incidents 1
including 1
indeed 1
influence 1
influx 1
inherits 1
initial 1
intertwining 1
into 2
invade 2
investigate 1
ironically 1
is 21
it 1
jianghu 1
journey 1
khitan 3
kills 2
kind 1
king 1
kingdom 1
known 1
lady 1
last 1
latest 1
leader 1
leadership 1
leap 1
learn 2
learns 1
leaves 1
left 1
liao 2
lie 1
life 2
lifethreatening 1
like 1
lines 1
live 1
long 2
longer 1
love 3
loves 1
luck 1
made 1
maidens 3
major 2
makes 1
making 1
many 1
marks 1
marred 1
married 2
martial 7
meeting 1
mischievousness 1
mistake 1
monastic 1
monk 1
most 1
murdering 1
murders 1
murong 1
mysterious 1
naive 1
name 1
narrative 1
nature 1
never 1
no 3
noble 1
not 1
note 1
novel 1
obsessed 1
of 25
old 1
on 3
once 1
one 3
oneman 1
other 2
outcast 1
overwhelmed 1
parentage 1
parents 2
past 2
perspective 1
pitiful 1
plot 1
poison 1
poisonous 1
possesses 1
powerful 2
powers 1
practice 1
prevent 1
previous 1
prime 1
prince 2
princess 1
promised 1
protagonists 1
prowess 2
pugilists 1
qiao 3
qualities 1
realises 1
refuses 2
regarded 1
regrets 1
relations 1
resembles 1
responsibilities 1
responsible 1
return 1
reunion 1
revealed 3
revision 1
revolving 1
romance 1
royal 1
ruler 1
runs 1
sadism 1
sect 3
sects 1
separate 1
separated 1
series 1
sever 1
several 5
shaolin 3
she 2
sheer 1
shifts 1
since 1
sister 1
sisters 1
situations 1
skills 1
some 1
sometimes 1
son 1
song 4
stands 1
start 1
statue 1
still 1
story 1
strong 3
strongly 1
student 1
submissive 1
subsequently 1
successor 1
sudden 1
suicide 1
swear 1
take 1
taking 1
territory 2
that 6
the 39
them 4
these 3
they 1
three 1
tianshan 1
ties 1
to 30
toad 1
tonglao 1
tradition 1
tragically 1
tribulations 1
tricked 1
tries 2
truly 1
ultimately 1
unable 1
unorthodox 1
up 1
upon 1
values 1
various 1
venomous 1
verify 1
wanders 1
wang 3
war 1
weiqi 1
western 1
when 4
where 1
which 2
who 5
whom 2
will 1
win 1
with 11
women 1
wrench 1
wrongly 1
wulin 1
wuyazi 2
xia 1
xiao 6
xuanci 1
xuzhu 6
ye 1
yel 3
yet 1
yinchuan 1
young 2
younger 1
yu 4
yuyan 2
zhengchun 1
zhuha 1
