989070
/m/03x2f0
/m/03x2f0
Thomas Hardy
1873
a 6
accompanying 1
adores 1
already 1
ambitious 1
and 7
architect 1
are 1
around 1
as 1
assistant 1
background 1
backgrounds 1
battle 1
between 1
book 1
both 2
but 1
candidate 1
caught 1
claiming 1
coffin 1
conclusion 1
corpse 1
country 1
daughter 1
describes 1
desperation 1
different 1
either 1
elfride 5
established 1
expectations 1
father 1
finds 3
for 1
from 1
guest 1
hand 2
he 1
heart 1
henry 1
her 8
herself 1
him 1
his 2
immediately 1
in 1
inferior 1
intent 1
is 4
knight 1
knowing 1
leave 1
london 1
lord 1
love 1
luxellian 1
man 3
married 1
marries 1
mason 1
mind 1
neither 1
of 4
older 1
on 1
or 1
orders 1
out 1
parents 1
represents 1
respectable 1
shares 1
she 2
smith 2
socially 1
society 2
son 1
stephen 2
suitors 2
swancourt 1
that 3
the 6
they 2
third 1
those 1
to 2
together 1
travel 1
travelling 1
triangle 1
two 1
very 1
when 1
who 2
whom 1
with 1
woman 1
young 2
