1002089
/m/03y80t
/m/03y80t
Haruki Murakami
1999
25 1
a 8
about 1
accompany 1
again 1
always 1
an 3
and 10
approaching 1
are 1
as 2
asks 2
aspiring 1
at 2
attracted 1
attraction 1
back 1
be 2
blue 1
booth 1
british 1
business 1
but 1
called 1
calls 1
characters 1
clear 1
concise 1
conversation 1
conveys 1
creative 1
days 1
despite 1
devoid 1
discovers 1
does 1
efforts 1
elementary 1
end 1
ending 1
ethnic 1
extensive 1
family 1
features 1
feelings 2
find 1
fly 1
for 1
france 2
friend 2
from 2
gifted 1
goes 1
greece 2
greek 1
grows 1
he 1
hears 1
help 1
her 6
him 4
his 5
house 1
if 1
in 4
input 1
interpretation 1
is 7
island 1
japan 2
k 8
keep 1
korean 1
lacks 1
lesbian 1
life 1
literally 1
locate 1
love 1
main 1
make 1
male 1
married 1
meet 1
meets 1
might 1
missing 1
miu 8
morning 1
murakami 1
narrator 1
never 1
night 1
not 1
novel 2
obliges 2
of 5
old 2
older 1
on 3
one 2
only 1
other 1
out 2
over 1
phone 1
pick 1
plot 2
promising 1
proposes 1
protagonist 1
quite 1
ready 1
realises 1
reciprocate 1
return 1
returning 1
same 1
school 1
separately 1
share 1
she 9
spend 1
sputnik 1
starts 1
stipend 1
strike 1
stronger 1
subjective 1
suggests 1
sumire 12
summer 1
survives 1
sweetheart 1
taken 1
takes 1
teacher 1
telephones 1
tells 1
that 6
the 11
their 2
then 1
they 2
though 1
three 1
thus 1
time 1
to 15
together 1
touch 1
trip 1
two 2
unsuccessful 1
up 2
use 1
vacant 1
wedding 1
who 2
with 3
woman 2
women 1
work 1
works 1
writer 2
years 1
