1041696
/m/040w5r
/m/040w5r
Mario Puzo

a 3
acted 1
against 1
aging 1
all 1
along 1
american 1
an 3
and 6
are 1
arm 1
as 2
aware 1
be 1
become 2
being 1
black 1
blood 1
boss 1
but 1
casino 1
catches 1
clericuzio 1
concludes 1
condemned 1
croccifixio 1
cross 3
dante 4
desire 1
domenico 1
don 5
eightyyearold 1
elimination 1
enter 1
eventually 1
exile 1
family 4
for 3
friend 1
grandnephew 1
grandson 1
greed 1
guy 1
had 1
half 1
having 1
he 3
him 2
himself 1
his 6
holds 1
however 1
in 3
into 1
is 6
las 1
last 1
later 1
lead 1
left 1
legitimate 1
life 2
list 1
long 1
mafia 1
majority 1
make 2
melt 1
murder 1
obstacle 1
of 6
old 2
on 1
only 1
outcome 1
own 1
part 1
plan 2
planned 1
power 1
powerful 1
precedes 1
refuses 1
relatives 1
retired 1
revelation 1
share 1
society 1
sole 1
spared 1
story 1
strong 1
supposed 1
surprise 1
survival 1
take 1
term 1
that 1
the 18
their 1
this 1
through 1
to 9
tough 1
trap 1
twentyfive 1
vegas 1
vendetta 1
waits 1
way 1
when 1
who 3
with 1
world 1
years 1
