1060323
/m/042hvm
/m/042hvm
Sidney Sheldon
1992-10
a 5
able 1
achieved 1
after 1
alder 1
all 3
america 1
and 7
as 2
at 1
back 1
become 1
bg 1
boarding 1
body 1
broken 1
building 1
businesswomen 1
but 1
butterfly 2
came 1
cameron 1
chicago 1
childbirth 1
deal 1
death 1
developer 1
dies 1
doesnt 1
down 1
dreams 1
early 1
empire 1
en 1
encounters 1
esescrito 1
estate 2
estrellas 1
even 1
ever 1
everything 1
exchange 1
falls 1
family 1
father 2
fend 1
first 1
for 2
from 2
gains 1
get 1
has 1
her 10
herself 1
him 1
hopes 1
house 1
how 1
in 6
iron 2
is 2
lara 3
las 1
learns 1
life 1
losing 1
love 1
loved 1
loves 1
makes 1
maledominated 1
man 2
many 1
marries 1
miraculously 1
most 1
mother 1
moves 1
ne 1
nickname 1
nova 1
novel 1
of 4
on 1
one 2
only 1
overcome 1
own 1
owner 1
philip 1
pianist 1
problems 1
ptthe 1
real 2
receives 1
recovers 1
scotia 1
scottish 1
secure 1
shattered 1
she 9
shine 1
stars 1
start 1
story 1
success 1
successful 2
talented 1
tells 1
the 9
them 1
though 1
thrilled 1
to 6
truly 1
verge 1
want 1
way 1
well 1
who 1
whom 1
with 2
world 1
